"COTTINGHAM WATER WORKS",,,,,,,,,,,,
Grid ref,TA047342,Long,-0.412054,Lat,53.793587,,,,,,,
Station no,3395,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.55,0.79,1.44,1.58,1.23,0.65,2.75,0.75,1.11,0.68,,
February,3.23,1.75,1.41,0.98,2.25,0.71,1.71,1.71,1.74,0.88,,
March,0.47,1.81,1.43,2.17,1.50,2.30,1.63,1.30,2.21,3.20,,
April,1.09,1.38,1.08,1.65,1.16,1.87,0.84,1.17,2.35,1.71,,
May,1.44,0.52,2.07,2.96,1.51,0.50,1.52,2.74,0.98,1.17,,
June,1.93,1.49,2.64,1.40,0.94,0.89,1.31,4.60,0.80,3.75,,
July,1.45,1.00,2.06,2.89,3.57,2.09,1.22,1.37,2.33,3.66,,
August,4.40,4.23,1.79,2.72,3.10,2.95,1.15,2.23,1.71,5.09,,
September,1.18,0.84,0.61,2.87,1.12,1.20,0.54,0.67,2.00,1.23,,
October,2.85,1.68,2.45,5.75,0.96,1.62,4.26,3.82,0.89,2.81,,
November,2.67,3.20,1.22,1.57,1.33,2.29,3.15,1.99,1.07,0.66,,
December,3.04,4.09,2.26,0.95,1.22,0.55,1.79,2.66,1.41,4.56,,
Total,26.30,22.78,20.46,27.49,19.89,17.62,21.87,25.01,18.60,29.40,,
Calc annual,26.30,22.78,20.46,27.49,19.89,17.62,21.87,25.01,18.60,29.40,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
