HORTON-KIRBY-COURT-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ561685,Long,0.242341,Lat,51.394068,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,395/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.65,,4.32,4.53,1.97,3.97,2,2.49,2.03,4.56,1.66,2.05,1.63,2.06,2.68,1.02,0.89,2.01,1.82,0.93,1.36,2.86,2.86,0.96,2.22,2,1.96
February,,,,0.29,,1.36,3.43,0.57,1.27,1.62,1.88,0.61,1.4,0.85,1.13,2.38,1.5,1.16,0.92,3.74,5.97,0.88,1.32,1.7,1.87,0.3,2.7,2.03,0.06,1.56
March,,,,2.07,,0.91,3.48,0.43,1.25,3.35,3.17,2.45,0.33,0.11,1.46,1.39,4.97,0.79,0.6,0.61,2.6,2.48,0.28,1.74,1.02,0.86,0.98,0.81,1.03,1.46
April,,,,1.86,,1.51,2.02,0.41,2.07,1.73,1.61,1.23,0.98,1.43,1.11,2.31,1.48,1.42,1.1,2.86,2.06,1.08,2.01,0.27,0.17,1.48,0.09,1.4,1.7,0.61
May,,,,0.43,,0.39,2.77,1.42,2,1.79,1.69,2.98,2.83,0.42,2.49,3.53,0.73,1.7,1.81,1.32,1.8,0.95,1.91,2.44,3.32,0.76,1.03,1.68,1.21,1.93
June,,,,1.25,,2.8,3.12,0.31,1.19,0.75,2.69,0.33,1.69,1.26,1.28,2.01,1.66,2.13,0.73,1.81,1.77,1.22,1.15,3.51,1.14,1.75,0.6,3.43,0.91,1.6
July,,,,0.85,,2.96,1.51,0.88,2.44,3.61,2.02,2.27,1.25,1.43,3.12,1.63,3.96,0.8,0.52,1.85,3.12,0.65,2.68,2.3,0.07,6.1,2.76,1.95,1.08,3.01
August,,,,1.52,,0.46,1.01,1.23,1.96,0.09,3.63,1.95,1.27,3.43,1.46,3.57,0.25,4.95,1.67,1.22,2.74,2.14,1.16,2.96,0.76,2.56,3.21,3.32,0.56,3.66
September,,,,1.3,,2.6,1.18,2.25,0.88,1,0.51,2.5,1.68,2.84,0.67,1.53,1.19,1.09,0.66,1.62,2.46,3.46,2.64,1.3,3.17,2.16,2.45,5.86,0.04,3.7
October,,,,1.69,,1.04,1.96,2.53,6.78,2.51,0.77,2.95,2.07,3.72,3.38,1.13,0.06,1.71,5.94,0.42,0.71,2.01,2.84,1.64,3.53,1.06,1.25,2.73,1.77,5.57
November,,,,2.58,,4.12,2.03,2.74,3.92,7.22,2.61,1.94,1.14,4.77,0.27,3.53,0.92,0.96,2.41,5.44,3.77,4.6,1.06,4.12,0.5,0.38,2.49,1.51,3.56,3.78
December,,,,4.53,,2.57,4.2,2.25,0.74,1.36,1.36,2.06,1.82,1.5,2.53,1.81,2.26,3.19,1.16,1.78,1.73,2.09,0.61,1.75,1.42,3.02,1.61,2.53,4.11,2.34
Total,,,,20.02,,25.04,31.24,16.99,28.47,27.03,24.43,23.3,21.02,23.42,20.95,26.45,21.04,22.58,18.54,23.56,30.74,23.38,18.59,25.09,19.83,23.29,20.13,29.47,18.03,31.18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Oct IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
