CROYDON-CROHAM-VALLEY-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ345632,Long,-0.06882,Lat,51.35245,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,100/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.15,5.54,5.6,2.75,5.38,,,2.79,5.91,,2.26,2.37,2.25,3.52,1.18,1.02,3.54,2.4,1.27,1.47,3.11,4.1,,,,
February,,,,,3.15,2.14,5.01,0.79,1.39,,,0.69,1.78,,1.73,2.68,1.78,1.79,1.42,5.09,7.18,1.09,1.72,2.42,1.95,0.56,,,,
March,,,,,0.23,1.23,3.77,0.42,1.36,,,2.3,0.29,,1.19,1.48,5.58,1.02,0.87,1.21,3.33,3.07,0.43,2.32,1.3,1.05,,,,
April,,,,,2.87,1.71,2.56,0.21,2.8,,,1.64,1.12,,1.25,2.52,2.06,1.74,1.52,3.56,2.77,1.21,2.38,0.32,0.26,1.23,,,,
May,,,,,1.41,0.31,2.59,1.98,2.01,,,3.59,2.72,,2.72,3.69,1.4,2.25,1.67,1.28,2.42,1.65,1.78,2.43,4.17,0.4,,,,
June,,,,,3,2.78,1.79,0.56,1.27,,,0.72,1.37,,1.71,2.38,3.18,2.99,1.11,1.49,0.87,1.69,2.09,3.75,2.11,2.67,,,,
July,,,,,1.02,4.54,0.7,1.61,2.67,,,2.18,1.75,,3.72,2.58,2.01,1.31,0.99,2.79,2.29,0.81,4,2.82,0.27,6.13,,,,
August,,,,,2.78,1.09,2.6,3.01,3.76,,,2.5,1.27,,1.67,4.79,0.13,5.07,1.6,1.51,3.37,3.91,1.61,3.33,1.12,2.58,,,,
September,,,,,4.08,2.59,1.76,2.69,1.48,,,1.77,1.69,,1.82,3.17,1.37,1.71,0.63,2.98,2.74,3.01,3.05,2.26,2.09,2.65,,,,
October,,,,,4.18,2.46,3.22,2.9,6.82,,,4.11,2.99,,3.04,1.3,0.21,1.87,6.7,0.4,1.12,3.04,4.38,2.05,3.93,1.35,,,,
November,,,,,5.09,4.47,2.01,3.75,5.01,,,2.17,1.38,,0.31,4.41,1.11,1.86,3.14,5.91,6.37,3.63,1.66,5.78,0.98,0.78,,,,
December,,,,,4.19,3.38,4.79,3.94,1.69,,,3.12,2.18,,3.52,2.93,2.89,4.03,1.3,1.84,2.86,2.46,0.76,1.97,2.4,3.55,,,,
Total,,,,,33.15,32.24,36.4,24.61,35.64,,,27.58,24.45,,24.94,34.3,23.97,29.16,22.13,29.08,38.86,27.97,25.13,30.92,23.69,27.05,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106 Croham Valley Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 No return Observer evacuated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 No return Observer abroad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Monthly totals only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Terminated Moved to Stn 76/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
