NEWPORT-SPRINGFIELD,,,,,,,,,,
Grid ref,ST305873,Long,-3.004397,Lat,51.580257,Elevation,180,ft.,,
Station no,RR6175,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,6.17,6.1,6.61,2.83,6.49,2.17,4.82
February,,,,1.11,3.32,2.51,6.6,3.26,4,6.62
March,,,,4.86,2.51,2.18,4.65,2.81,1.8,1.1
April,,,,0.36,2.2,2.8,3.19,3.39,4.05,3.11
May,,,,2.64,0.37,3.15,0.29,3.46,6.26,3.03
June,,,,2.88,1.95,5.92,2.08,2.26,4.32,6.98
July,,,,4,1.42,7.89,1.21,4.5,2.55,4.35
August,,,,4.43,5.07,1.87,5.49,6.14,9.79,8.89
September,,,,2.98,5.96,4.66,6.93,3.52,3.6,5.18
October,,,,4.25,5.18,7.48,3.93,4.51,4.65,1.27
November,,,,2.16,2.99,7.96,6.05,7.35,3.53,0.68
December,,,,1.39,4.52,2.61,9.17,3.39,2.73,2.17
Total,,,,37.23,41.59,55.64,52.42,51.08,49.45,48.2
,,,,,,,,,,
NGR is an area in Newport called Springfield. Altitudes match.,,,,,,,,,,
Cannot tie the observer to this location and there are no other clues on the records.,,,,,,,,,,
1km from NEWPORT-GOLD-TOPS,,,,,,,,,,
