BAMPTON (SEALHOLE GRAIN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY471166,Long,-2.819177,Lat,54.541883,Elevation,1775,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3680/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,14,13.88,11.35,2.23,10.9,11.51,12.3,12.95,2.36,1.46,7.5,17.2,10.35,7,10.55,11,16.83,5.04,4.99,7.25,6.7,2.85,7.1,7.5,5.25,18.28,11.75,8.45,12.15
February,,0.13,5.99,0.33,7.28,2.85,6.72,3.87,8.94,2.44,7.42,2.35,7.15,2.58,8,5.5,2.3,6.55,8.1,10.81,8.5,1.78,2.6,6.6,3.2,1.1,10.25,9.45,2.32,12.2
March,,5.35,6.36,6.09,2.45,3.85,2.83,5.15,6.67,8.93,3.65,6.18,3.5,0.85,4.96,5.17,8.1,7.45,1.7,6.7,5.65,5.38,1.2,6.3,2.7,3.1,8.25,2.22,7.9,2.97
April,,5.31,3.05,5.08,6.39,1.28,4.87,0.62,2.85,2.56,2.27,7.93,6.15,4.27,3.59,2.27,15.48,4.15,9.16,5.32,7,5.73,6.05,1.05,2.15,1.52,1.45,2.95,9.05,8.55
May,,5.05,3.78,6.04,0.48,1.86,3.15,6.54,1.16,1.73,4.33,9.12,7.45,2.52,5.45,2,4.48,3.25,4.25,3.5,2.4,3.75,4.44,6.1,7.5,3.6,4.15,7.45,2.2,3.53
June,,4.15,2.47,6.5,6.2,4.35,2.44,8.75,6.04,1.15,0.18,1.35,6.15,4.16,4.75,7.3,4.47,10.46,1.18,2.63,2.7,4.68,3.83,5.4,4.2,4.5,1.63,6.75,4.5,6.55
July,,8.15,6.07,2.33,2.52,6.01,3.4,11.23,17.64,7.85,1.9,4.38,4.2,4.55,3.85,6.12,4.59,4.06,3.52,6.38,4.75,3.63,9,4.52,2.35,6.6,5.65,5.95,6.2,6.04
August,,1.6,3.9,6.02,3.1,2.98,3.8,3.94,3.86,2.33,7.42,9.75,10.73,5.5,2.6,8.58,0.12,11.1,3.92,16.7,8.6,7.93,7.1,7.78,2.6,11.55,8.95,5.25,1.6,4
September,,6.97,2.74,10.1,13.9,6.88,5.84,3.7,2.95,6.77,1.96,10.55,9.2,8,7.95,13.72,6.68,9.1,1.78,17.6,14.3,7.6,10.9,15.1,4.3,7.7,8.65,10.55,1.25,5.1
October,,12.52,6.61,13.35,9.37,4.5,4.97,18.59,3.6,11.75,6.25,8.4,11.75,8.43,9.9,1.53,1.78,5.83,11.08,7.5,1.24,13.1,4,16.85,5.75,5.8,11,7.85,8.05,7
November,,4.75,2.81,1.33,6.5,8.65,1.44,14.1,13.75,10.12,8.09,2.07,5.5,14.6,0.58,17.88,10.83,6.08,13.58,7.5,17.8,4.9,12.8,18.2,5,3.1,3.6,1.13,14.35,23.45
December,,13.4,0.46,15.05,3.96,14.7,3.9,7.4,4.26,5.73,6.29,16.45,5.68,7.38,5.6,8.73,3.38,14,13,3.15,17,6,5.8,9.6,12.1,12.65,11.28,8,18.15,11.35
Total,,81.38,58.12,83.57,64.38,68.81,54.87,96.19,84.67,63.72,51.22,86.03,94.66,73.19,64.23,89.35,73.21,98.86,76.31,92.78,97.19,71.18,70.57,104.6,59.35,66.47,93.14,79.3,84.02,102.89
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 april mistranscription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1951 Feb, Mar, Apr estimated for snow but total felt correct not estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Jan ditto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1955 Feb, Mar ditto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
