KNUTSFORD-THE-SYCAMORES,,,,,,,,,,
Grid ref,SJ758779,Long,-2.3645515,Lat,53.297497,Elevation,212,ft.,,
Station no,2728,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.56,4.61,1.79,3.22,2.82,4.88
February,,,,,2.43,0.52,2.12,4.45,0.31,2.47
March,,,,,2.05,1.15,2.88,1.53,1.89,0.97
April,,,,,2.71,3.51,0.4,0.9,3.29,1.46
May,,,,,2.27,0.97,1.88,2.6,2.25,2.04
June,,,,,3.19,2.45,2.17,6.52,2.01,2.55
July,,,,,0.69,5.13,4.78,4.3,3.2,4.3
August,,,,,0.57,10.56,3.26,4.24,0.35,4.83
September,,,,,2.28,2.29,7.23,4.37,0.21,3.74
October,,,,,2.23,2.74,3.5,3.1,2.89,4.17
November,,,,,1.82,1.5,1.62,1.65,4.01,5.27
December,,,,,3.65,2.9,3.08,4.02,4.51,3.16
Total,,,,,26.45,38.33,34.71,40.9,27.74,39.84
,,,,,,,,,,
"MIDAS src_id 12154 KNUTSFORD: SYCAMORES Start 1955 end 1961 but possible worng NGR, see below",,,,,,,,,,
"NGR is The Sycamores and is 100m N of Hazlefield. The NGR os the 1950s record, SJ760790, is 1.2km NNE of NGR used and altitudes do not match. Note on record and apparently in the BR reports says gauge moved from Sycamores in 1955 but a note on the 1950s record states this is not correct. Relationships to church and station are not conistent with any of the NGRs!",,,,,,,,,,
