GLOSSOP-SPIRE-HOLLIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK033945,Long,-1.9517806,Lat,53.447256,Elevation,545,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,3.33,3.93,4.17,2.08,6.04,5.75,1.58,1.44,0.44,4.22,5.84,5.34,2.58,5.87,1.7,1.81,1.74,4.09,3.02,4.27,1.74,3.23,,,,,
February,,,,1.01,2.19,1.38,4.55,5.54,1.29,3.06,3.79,4.87,3.03,3.04,3.35,3.21,0.68,1.03,2.21,2.59,0.87,0.66,3.33,5.53,4.94,,,,,
March,,,,3.61,3.68,0.63,4.45,4.13,2.82,2.13,2.59,4.61,3.75,0.51,2.27,2.72,2.91,1.72,3.54,4.66,4.86,2.72,1.67,1.01,3.66,,,,,
April,,,,0.58,2.14,1.55,2.09,3.14,2.46,1.99,3.27,1.15,4.22,1.68,2.23,2.19,2.39,1.97,3.27,2.94,1.13,2.4,1.58,0.68,2.37,,,,,
May,,,,3.07,2.39,2.27,1.65,4.15,4.55,2.61,2.42,3.9,1.62,1.35,2.36,2.59,8.15,2.64,1.02,2.47,3.01,3.56,5.81,3.02,3.03,,,,,
June,,,,3.17,0.61,3.13,3.87,3.19,2.52,5.29,3.79,2.3,7.1,4.57,1.5,3.44,1.85,0.42,3.03,0.94,3.37,3.11,4.05,2.48,3.94,,,,,
July,,,,4.75,2.54,5.24,2.14,5.34,0.79,5.31,7.67,3.24,5.86,4.85,3.62,1.68,4.01,1.45,5.79,2.8,4.26,3.87,3.57,3.31,3.73,,,,,
August,,,,4.62,4.42,3.71,4.64,5.65,5.29,6.37,1.66,5.24,4.33,3.59,2.21,2.14,2.69,1.87,3.66,5.83,5.71,7.15,4.06,3.3,5.46,,,,,
September,,,,2.96,3.77,4.81,4.13,3.5,5.18,3.01,5.55,2.79,2.96,6.56,3.77,4.04,2.55,4.42,1.9,3.85,1.06,3.97,4.38,4.84,0.88,,,,,
October,,,,4.59,3.89,6.44,2.77,4.04,3.94,3.15,5.51,4.44,4.8,6.34,3.11,8.73,6.9,2.76,1.76,5.39,3.38,5.89,7.95,3.2,5.2,,,,,
November,,,,3.66,6.22,5.32,3.86,5.41,3.22,2.58,4.52,3.87,7.53,3.03,2.11,3.17,2.09,2.57,8.07,2.44,5.97,3.91,2.34,3.45,2.88,,,,,
December,,,,1.26,2.93,1.69,6.41,5.59,2.43,2.03,6.24,5.63,4.3,4.57,5.39,2.47,6.44,3.03,2.4,2.99,0.77,6.08,2.91,4.82,3.62,,,,,
Total,,,,36.61,38.71,40.34,42.64,55.72,40.24,39.11,48.45,42.48,53.72,45.93,37.26,38.96,46.53,25.58,38.46,38.64,38.48,46.34,45.92,37.38,42.94,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is Spire Hollin House where the observer, F Hawke, lived. Stated altitude on later records of 612 is too high, figure from early records used, which is a better match..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
