CARLETON-HALL-SAXMUNDHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM383643,Long,1.4877601,Lat,52.225309,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.76,2.41,0.69,3.1,3.03,2.97,2.49,1.91,1.86,1.5,3.95,2.38,1.19,1.74,1.6,3.51,1.37,1.92,0.02,1.25,1.44,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,0.67,0.81,1.12,2.42,4.52,1.42,1.14,3.62,0.9,2.13,0.9,1.96,1.02,1,2.42,2.44,1.28,3.47,1.76,2.52,1.67,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.02,3.85,1.1,3.05,2.7,1.56,1.97,2.23,3.48,2.95,0.9,3.18,1.76,0.96,0.53,2.79,2.63,1.59,0.98,1.03,1.81,1.81,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,0.72,1.47,0.82,0.35,0.42,1.67,2.13,1.68,1.02,0.95,3.92,2.84,1.02,1.24,1.09,1.18,1.87,1.62,2.4,1.39,1.27,3.78,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.31,2.71,0.97,1.63,1.07,1.7,3.61,1.35,2.69,0.91,0.87,3,2.39,1.1,2.64,1.13,1.8,3.68,1.79,0.51,0.98,1.44,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.3,1.94,2.87,2.11,1.11,1.51,0.73,0.94,1.32,0.8,2.62,3.04,1.52,1.63,1.21,1.76,1.01,0.96,2.86,2.81,2.31,2.3,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.67,1.4,1.06,0.86,4.51,2.79,2.7,0.37,0.36,1.78,1.92,4.53,2.2,0.81,3.72,1.27,3.45,1.44,4.91,3.93,1.54,2.91,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,0.93,2.62,1.39,1.02,7.14,1.79,1.16,1.75,1.42,2.63,0.47,1.73,1.47,1.38,0.89,0.94,3.21,3.29,3.79,2.44,4.13,2.28,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.56,1.81,2.4,1.81,0.03,3.72,1.43,1.31,2.72,2.32,3.57,2.3,2.57,2.58,2.54,3.92,1.66,1.63,2.5,2.44,3.32,3.2,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,0.69,2.28,2.15,0.86,6.55,0.44,2.34,2.35,2.64,3.87,1.21,3.83,2.78,2.98,3.93,1.3,1.49,1.5,1.17,4.43,3.53,6.57,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
