"STRATHDON ESTATE OFFICE",,,,,,,,,,,,
Grid ref,NJ355127,Long,-3.069146,Lat,57.200525,,,,,,,
Station no,5645,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,3.09,1.68,1.52,2.19,2.94,1.92,1.69,,
February,,,,4.35,3.97,2.51,3.36,2.02,3.03,1.63,,
March,,,,2.42,1.76,4.41,3.41,1.51,5.00,7.10,,
April,,,,3.79,2.27,3.64,1.98,3.56,3.92,3.83,,
May,,,,2.76,3.00,1.33,7.04,6.12,1.18,3.03,,
June,,,,1.67,0.98,1.34,1.12,4.64,1.15,2.26,,
July,,,,4.94,2.24,2.62,1.75,2.31,3.99,3.62,,
August,,,,4.51,3.71,4.65,3.80,3.38,2.63,2.07,,
September,,,,2.73,2.17,1.95,1.63,1.21,4.45,2.31,,
October,,,,6.21,1.20,5.17,4.28,4.43,1.69,4.20,,
November,,,,3.50,2.01,7.63,8.04,2.27,1.99,2.70,,
December,,,,3.07,3.29,0.73,4.07,3.07,2.37,3.09,,
Total,,,,43.04,28.28,37.50,42.67,37.46,33.32,37.53,,
Calc annual,0.00,0.00,0.00,43.04,28.28,37.50,42.67,37.46,33.32,37.53,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
