BUSHMILLS,,,,,,,,,,,,,,,,,,,,
Grid ref,IC9410140690,Long,-6.522581394,Lat,55.20453469,Elevation,33,ft,,,,,,,,,,,,
Station no,RR2950,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,3.15,1.67,6.31,4.89,1.87,2.05,1.36,2.23,3.95,5.17,2.1,4.75,,,
February,,,,,,1.26,3.47,3.75,1.28,1.41,2.08,4.25,2.4,3.28,3.16,4.25,,,,
March,,,,,,1.41,4.49,5.05,2.38,1.72,1.57,4.43,3.32,1.33,3.01,1.82,,,,
April,,,,,,0.43,2.03,1.72,1.82,1.33,2.62,1.12,2.76,1.15,1.49,2.26,,,,
May,,,,,,2.03,0.57,1.91,3.06,3.49,0.94,2.09,2.15,3.39,2.45,2.27,,,,
June,,,,,,2.98,2.97,3.84,3.99,3.46,3.19,3.57,3.8,1.82,0.81,1.11,,,,
July,,,,,,2.05,2.78,4.12,1.46,4.44,4.49,3.33,6.68,2.23,3.06,1.81,,,,
August,,,,,,4.17,3.77,3.65,6.61,2.6,2.48,3.21,2.9,5.56,3.97,1.32,,,,
September,,,,,,3.98,3.66,1.69,4.66,3.92,3.29,2.2,4.15,5.98,4.53,5.77,,,,
October,,,,,,5.19,4.44,4.42,3.61,1.44,2.33,4.14,2.7,3.25,4.31,3.55,,,,
November,,,,,,4.74,3.05,5.24,3.45,1.58,3.73,3.44,7.48,5,4.49,2.15,,,,
December,,,,,,2.61,6.06,4.14,4.08,2.3,3.98,4.4,4.66,3.12,4.79,2.73,,,,
Total,,,,,,34,38.96,45.84,41.29,29.56,32.75,37.54,45.23,40.06,41.24,31.14,,,,
,,,,,,,,,,,,,,,,,,,,
1885 total classed as estimated but no reason obvious - ie all records classed as ok.,,,,,,,,,,,,,,,,,,,,
