HAMBLEDON-WORLDS-END,,,,,,,,,,
Grid ref,SU629118,Long,-1.10587,Lat,50.9022,Elevation,115,ft,,
Station no,690/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.3,3.59,5.24,2.86,4.75,3.44,4.36
February,,,,3.49,2.01,0.09,4.63,2.8,0.13,3.57
March,,,,3.43,1.2,0.5,2.29,1.56,2.87,1.84
April,,,,0.39,0.52,1.91,0.17,0.67,2.59,1.11
May,,,,2.3,4.22,0.31,1.2,2.7,0.37,1.01
June,,,,4.3,3.14,2.73,1.1,3.29,0.78,2.75
July,,,,3.3,0.95,2.66,4.56,2.07,2.17,7.17
August,,,2.18,3.11,0.78,3.38,2.52,4.45,3.43,4.56
September,,,2.81,2.94,2.21,4.14,3.28,4.14,0.16,5.35
October,,,3.39,2.95,5.05,1.78,2.11,3.5,2.93,8.02
November,,,2.29,6.03,2.71,0.72,3.34,2.9,4.32,6.9
December,,,0.71,3.2,4.52,5.7,2.39,3.85,7.73,4.64
Total,,,,37.74,30.9,29.16,30.45,36.68,30.92,51.28
,,,,,,,,,,
,,,,,,,,,,
1959 Feb Inspection Gauge to be moved 25yds to new site,,,,,,,,,,
Gauge location taken from MIDAS,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as WORLDS END P STA SRC_ID 7525,,,,,,,,,,
Station still in use,,,,,,,,,,
