STRANGFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ5868050130,Long,-5.5584651,Lat,54.375208,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.59,2.13,2.13,2.28,3.28,1.08,4.53,3.83,3.36,4.16,5.34,2.07,6.58,5.16,3.59,2.43,4.84,,,,
February,,,,,,,,,,,0.39,1.88,0.22,3.28,0.16,3.27,2.63,4.37,1.53,2.78,2.92,2.86,1.42,0.99,0.58,3.18,1.8,,,,
March,,,,,,,,,,,1.86,1.79,1.37,3.5,1.48,1.02,2.38,2.45,0.94,2.98,4.11,3.22,3.86,0.68,0.29,1.36,2.18,,,,
April,,,,,,,,,,,0.81,2.17,2.75,1.47,2.1,2.18,1.72,2.21,0.11,2.01,3.62,1.91,2.3,1.7,1.94,1.93,0.74,,,,
May,,,,,,,,,,,1.61,3.97,3.01,2.24,2.69,0.79,1.52,1.04,2.23,1.09,1.83,2.55,4.79,3.13,1.61,3.8,1.73,,,,
June,,,,,,,,,,2.01,1.93,4.13,1.31,2.28,1.22,3.3,2.48,2.63,4.18,2.3,1.38,0.43,0.37,3.64,2.88,5.56,2.52,,,,
July,,,,,,,,,,2.87,4.71,2.31,4.47,2.98,1.73,1.61,5.77,2.7,5.63,3.94,3.94,4.04,2.68,2.05,3.37,3.8,2.01,,,,
August,,,,,,,,,,3.96,5.73,2.61,2.64,2.05,4.68,1.38,2.88,2.78,1.74,1.99,0.66,4.16,5.08,4.73,2.84,1.1,3.6,,,,
September,,,,,,,,,,0.31,4.31,3.31,2.91,0.41,4.88,4.66,4.02,2.49,3.08,2.87,1.96,2.38,4.14,2.49,5.3,2.54,6.2,,,,
October,,,,,,,,,,3.23,4.36,2.17,3.41,2.45,4.44,3.38,1.68,2.95,5.98,2.22,5.02,3.43,3.67,4.16,3.87,3.24,0.98,,,,
November,,,,,,,,,,5.3,3.67,7.48,1.24,2.15,1.2,4.27,3.66,1.51,4.27,5.51,5.51,3.2,0.4,1.67,5.7,1.86,4.87,,,,
December,,,,,,,,,,7.36,4.17,2.6,4.9,2.36,6.76,3.02,3.01,4.63,3.36,2.99,3.75,1.45,4.44,2.55,4.81,3.48,3.5,,,,
Total,,,,,,,,,,,38.14,36.55,30.36,27.45,34.62,29.96,36.28,33.59,36.41,34.84,40.04,31.7,39.73,32.95,36.78,34.28,34.97,,,,
