AFON-TWRCH-NANT-Y-BARCUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH884252,Long,-3.6572326,Lat,52.812757,Elevation,1091,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4323/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.5,12,8,16.5,11,3.3,5.5,11,16,,,,,,,4.9,3.7,12,,,,,,,,
February,,,,,15.1,4.2,17,8,12.5,6,12.5,-999,11.5,,,,,,,,5.1,3,,,,,,,,
March,,,,,3.6,5,5,4.5,8,6,5,-999,2.5,,,,,,,6.5,8,4,6.5,,,,,,,
April,,,,,7.8,4,4,1,5.1,5,6.5,-999,3.5,,,,,,,6.5,4.9,4.3,,,,,,,,
May,,,,,1.6,1.5,4,5,1.5,,4,-999,10.5,,,,,,,1.25,2.7,2.9,5.2,,,,,,,
June,,,,,9.2,8,3,8,4,2.5,1,,,,,,,,,5.6,1.6,4,,,,,,,,
July,,,,2.6,3.1,12,2,8,14.4,2,3,8.5,6.5,,,,,,,6.3,2,3,9.6,,,,,,,
August,,,,9.7,3.5,4,2.5,4,4.5,3,8.3,10,9.5,,,,,,,13.9,2.4,5.5,,,,,,,,
September,,,,7.4,14,8,1.5,3.5,1.5,8,2.5,7.5,,,,,,,,13.5,5.7,5,,,,,,,,
October,,,,13,16,8,4.5,,4.5,13.5,12,13.5,,,,,,,,7.9,3.9,,,,,,,,,
November,,,,3,10,12,3.5,13.4,18,18,5.5,-999,,,,,,,,,10.5,,,,,,,,,
December,,,,17.4,8,16,7,9.5,9,8.5,9,-999,,,,,,,,,7.5,,,,,,,,,
Total,,,,,95.4,94.7,62,,94,,74.8,,,,,,,,,,58,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Nant-y-Barcut. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combined reading for Feb to May 1942 - 28.9 and for Nov/Dec = 13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4 consecutive readings, May to Aug 1942, are duplicates of a station LAKE-VYRNWY-GADFA, which is 4.8km away with no obvious connections between observers. Neither record admits copying and there are 4 other more random duplications. Some readings have been left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
