"SKYE (LOCH HARPORT, CARBOST)",,,,,,,,,,,,,,,,,,,,
Grid ref,NG369330,Long,-6.37085,Lat,57.311465,Elevation,160,ft,,,,,,,,,,,,
Station no,5757/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,9.59,10.52,5.28,9.39,6.92,8.93,9.64,7.95,15.44,9.52,7.57,8.32,6.19,7.67,13.51,12.96,6.74,5.23
February,,4.03,10.04,5.53,9.01,6.33,0.26,8.28,9.59,7.84,5.36,4.96,6.34,8.24,4.42,4.79,6.02,4.86,4.22,7.1
March,,3.05,5.78,6.25,8.96,6.63,3.42,7.13,6.04,7.88,5.15,10.95,3.08,7.57,2.52,3.13,9.13,,6.37,2.82
April,,1.73,8.12,4.79,3.53,5.6,12.82,5.16,9.37,6.34,7.47,4.58,7.72,3.51,6.72,3.61,5.9,3.37,7.02,
May,,2.8,4.78,6.54,3.83,1.59,3.13,2.57,5.21,2.46,0.53,3.57,4.54,5.27,4.15,7.8,2.76,7.23,1.75,
June,,5.16,7.19,7.51,6.73,9.38,6.35,6.29,2.97,7.2,3.28,7.4,2.52,7.78,6.83,4.1,3.94,2.8,6.62,
July,,9.54,6.25,2.37,8.2,10.5,6.06,7.33,4.74,7.19,7.94,5.68,7.3,6.52,2.5,8.52,5.82,2.49,11.64,
August,,10.6,7.45,7.41,5.13,7.21,0.23,6.23,10.33,8.66,7.47,6.97,7.03,6.89,2.65,6.38,7.77,5.6,7.84,
September,,13.2,8.55,6.01,7.72,10.24,11.75,15.53,5.7,14.81,7.49,6.76,8.13,10.87,12.78,5.02,6.13,6.24,6.44,
October,,12.85,19.88,11.18,5.35,1.14,5.6,12.16,12.85,11.89,8.69,9.77,14.76,13.04,11.1,8.35,13.72,10.3,10.73,
November,,7.25,9.74,7.49,2.39,9.89,10.37,11.27,12.13,8.83,9.17,4.37,14.84,13.51,3.99,9.96,6.91,7.11,13.77,
December,,16.21,6.17,8.64,6.96,11.17,5.16,13.93,14.95,6.54,13.82,12.71,9.51,9.9,9.81,11.81,10.39,6.18,14.55,
Total,,,103.54,84.24,73.09,89.07,72.07,104.81,103.52,97.59,91.81,87.24,93.34,101.42,73.66,81.14,92,,97.69,
,,,,,,,,,,,,,,,,,,,,
1942 Ja Deleted Estd,,,,,,,,,,,,,,,,,,,,
1958 Ma Estd,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5757/5,,,,,,,,,,,,,,,,,,,
Midas,14207,,,,,,,,,,,,,,,,,,,
Hyd Stn,723648,,,,,,,,,,,,,,,,,,,
