NEATH-MORRISTON,,,,,,,,,,,,,,,,,,,,
Grid ref,SS668974,Long,-3.9271124,Lat,51.659553,Elevation,89,ft,,,,,,,,,,,,
Station no,RR7468,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,6.89,4.34,6.14,4.45,2.51,1.91,7.41,,,,,,,,,
February,,,,,4.39,5.03,1.27,1.43,1.32,3.74,1.56,,,,,,,,,
March,,,,,5.12,1.86,6.24,2.64,4.07,3.7,2.64,,,,,,,,,
April,,,,,2.08,3.83,3.48,1.49,1.44,2.49,2.1,,,,,,,,,
May,,,,,2.58,3.32,5.22,1.6,2.51,2.8,2.39,,,,,,,,,
June,,,,,2.91,5.17,1.46,0.96,3.87,0.41,4.04,,,,,,,,,
July,,,,,6.39,1.93,5.56,2.71,7.47,4.38,4.61,,,,,,,,,
August,,,,,2.35,1.86,1.86,1.91,5.31,4.67,4.26,,,,,,,,,
September,,,,,4.73,7.51,5.77,5.03,1.98,2.92,2,,,,,,,,,
October,,,,,3.61,5.61,8.69,3.63,2.34,4.33,3.39,,,,,,,,,
November,,,,,2.43,5.69,5.59,4.93,8.76,3.26,7.4,,,,,,,,,
December,,,,,9.18,2.28,5.68,4.38,6.19,4.61,0.86,,,,,,,,,
Total,,,,,52.66,48.43,56.96,35.16,47.77,39.22,42.66,,,,,,,,,
