TADWORTH-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ223568,Long,-0.24703,Lat,51.29776,Elevation,405,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,132/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.69,3.2,6.26,2.71,2.53,3.4,6.32,2.13,2.08,2.45,2.23,4.17,1.28,0.95,3.81,2.15,1.33,1.32,3.16,4.36,1.67,2.35,2.64,3.06
February,,,,,,,4.68,0.84,1.74,2.29,2.93,0.58,1.88,0.95,1.77,2.56,1.87,1.81,1.27,5.25,8.14,0.91,1.49,2.58,2.03,0.43,3.76,2.35,0.09,2.21
March,,,,,,,4.33,0.4,1.68,3.64,3.9,1.88,0.37,0.14,1.27,1.3,5.72,0.85,1.08,1.36,3.73,3.25,0.36,2.31,1.36,0.61,1.04,1.81,2.7,2.09
April,,,,,,,3.12,0.25,3.15,2.43,2.39,1.73,1.13,1.6,1.24,2.49,2.03,1.76,1.88,3.26,2.96,1.36,2.67,0.29,0.25,1.67,0.23,1.31,2.74,0.8
May,,,,,,,2.39,2.22,2.35,1.77,1.97,3.67,2.98,0.8,2,3.31,1.72,2.28,1.98,1.52,2.36,1.63,1.84,2.37,4.02,0.28,1.45,2.95,0.72,1.82
June,,,,,,,1.89,0.72,1.11,0.47,2.76,0.12,2.04,2.06,1.96,2.48,2.74,2.3,0.97,1.34,1.06,1.54,1.95,4.46,2.13,2.62,0.88,4.3,1.51,1.46
July,,,,,,,1.61,2.26,2.96,2.21,4.01,2.47,1.58,2.09,3.68,1.57,1.5,1.77,0.81,3.64,2.44,0.82,4.18,3.23,0.76,5.9,3.48,1.71,1.48,2.74
August,,,,,,,1.31,2.27,2.05,0.15,4.15,3.44,1.71,2.6,1.65,5.07,0.45,4.33,1.58,2.72,3.89,3.93,1.81,3.23,1.19,3.12,3.59,2.68,1.57,3.62
September,,,,,,,2.07,2.26,1.84,1.49,0.46,1.97,2.23,2.54,2.52,3.44,1.32,1.97,0.41,2.98,2.7,2.93,3.08,2.12,1.83,2.58,3.23,5.52,0.2,3.09
October,,,,,,,3.04,3.05,6.86,3.38,1.29,4.06,3.79,4.24,3.76,1.43,0.29,1.97,6.83,0.46,1.15,3.29,4.22,2.7,3.65,1.34,1.75,3.33,2.77,6.25
November,,,,,,,2.02,4.62,5.08,8.49,3.42,2.37,1.59,4.38,0.32,4.97,1.16,1.77,3.45,6.79,7.05,3.28,1.52,5.52,1.37,0.84,2.83,2,3.61,4.96
December,,,,,,,5.12,4.06,1.91,1.62,2.15,3.54,2.09,3.02,3.99,3.49,2.87,3.97,1.34,2.16,2.68,2.26,0.71,2.08,2.59,3.76,2.38,3.31,5.14,2.94
Total,,,,,,,37.27,26.15,36.99,30.65,31.96,29.23,27.71,26.55,26.24,34.56,23.9,28.95,22.88,32.43,41.97,27.35,25.16,32.21,24.34,27.51,26.29,33.62,25.17,35.04
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Record accepted with footnote in BR Gauge over sheltered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Jan 2 Gauge moved 10ft SE away from trees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
