SALE-BROOKLANDS,,,,,,,,,,
Grid ref,SJ793909,Long,-2.3128946,Lat,53.414496,Elevation,90,ft.,,
Station no,RR7993,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,0.3,3.22,5.21,4.75,2.78,5.9,1.82,1.67,
February,,5.3,2.85,2.09,2.86,2.66,0.94,1.04,1.05,
March,,5.1,2.48,1.34,2.55,2.04,2.11,1.7,1.36,
April,,1.57,3.8,2.01,0.73,2.36,2.35,1.56,1.65,
May,3,4.44,2.05,1.02,1.95,2.64,5.41,2.62,0.75,
June,4.7,2.7,8.18,4.15,1.06,3.61,3.38,1.12,3,
July,7.97,4.02,5.49,4.07,3.68,1.37,6.88,0.97,5.3,
August,3.12,5.9,3.15,1.09,2.02,2.02,3.53,1.62,3.21,
September,5.8,2.96,3.2,5.69,1.95,5.26,3.52,3.64,1.22,
October,3.1,3.1,3,7.14,3.12,5.72,7.62,1.96,1.36,
November,4.55,3.93,7.41,3.26,2.07,3.26,2.43,0.93,4.18,
December,6.46,5.38,1.32,3.68,4.3,2.66,5.22,2.81,1.92,
Total,,44.7,46.15,40.75,31.04,36.38,49.29,21.79,26.67,
,,,,,,,,,,
NGR is in Brooklands with the stated relationship to the church. Altitudes match.,,,,,,,,,,
NGR could be +/- 250m,,,,,,,,,,
