ERIDGE-DANEGATE,,,,,,,,,,
Grid ref,TQ563338,Long,0.23008273,Lat,51.082233,Elevation,400,ft,,
Station no,RR7764,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,0.95,3.9,2.15,1.61,,6.74
February,,,,,5.86,5.96,5.22,0.98,,2.45
March,,,,,7.37,0.59,4.67,1.84,,4.75
April,,,,,2.01,1.75,1.42,2.74,,3.38
May,,,,,1.28,4.44,2.52,2.34,,0.44
June,,,,,0.62,1.06,4.24,2.63,,0.91
July,,,,,1.45,4.14,1.4,3.51,,2.31
August,,,,,1.01,1.63,2.95,6.6,,3.36
September,,,,,1.21,2.11,1.44,2.09,,1.36
October,,,,,2.62,2.85,5.34,5.08,,0.6
November,,,,,4.93,4.42,5.81,1.88,,3.03
December,,,,1.53,9.36,8.93,4.24,2.57,,5.18
Total,,,,,38.67,41.78,41.4,33.87,,34.51
