GLOUCESTER-THE-LANNETT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO831169,Long,-2.2467553,Lat,51.850435,Elevation,56,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.5,2.33,1.89,0.64,3.17,2.76,2.71,4.47,2.32,2.13,2.41,5.8,2.04,1.59,2.4,1.55,4.15,1.01,0.32,2.7,1.75,0.64,,,,,,,
February,,0.14,3.3,0.41,2,2.23,3.71,0.7,0.98,2.16,1.84,0.71,1.08,0.64,1.77,1.94,0.66,1.08,1.07,5.1,2.91,0.52,1.2,,,,,,,
March,,2.04,2.25,1.67,0.53,2.35,2.66,0.09,1.45,1.72,1.93,1.83,0.81,0.36,1.11,0.86,5.8,1.26,1.02,1.2,3.3,2,0.61,,,,,,,
April,,2.53,0.86,1.55,3.94,1.94,2.2,0.1,3.22,1.28,0.88,0.99,0.49,0.91,0.97,2.47,2.73,2.21,1.78,1.7,2.48,1.98,2.44,,,,,,,
May,3.38,5.98,2.16,1.16,1.12,0.81,1.61,1.92,0.84,1.95,0.99,3.12,2.62,1.82,2.48,3.44,1.9,4.32,2.63,2.44,2.29,3.29,1.92,,,,,,,
June,3.28,1.24,2.61,0.86,2.81,3.11,0.83,0.76,1.73,0.43,2.22,0.17,2.06,2.77,2.34,2.24,1.48,1.47,0.44,2.65,0.93,3.32,2.08,,,,,,,
July,3.78,2.06,1.15,2.03,0.52,4.47,3.18,2.29,5.21,3.13,1.79,1.76,0.99,2.25,1.24,0.91,2.36,0.77,1.51,2.84,0.39,0.25,2.29,,,,,,,
August,3.86,3.62,0.7,1.87,1.33,0.2,0.31,2.62,2.48,0.05,3.75,4.13,1.64,2.41,1.74,4.62,0.64,3.12,1.48,3.73,4.26,4.21,3.19,,,,,,,
September,1.85,2.79,3.26,1.64,3.25,3.74,2.1,1.63,0.99,0.76,0.93,1.78,2.52,2.08,1.69,3.28,1.92,2.69,1.96,3.05,2.19,1.15,2.59,,,,,,,
October,0.54,4.98,3.91,1.31,3.82,1.2,2.74,2.98,2.46,3.14,2.98,2.35,1.74,3.87,2.92,0.36,0.23,2.76,6.62,0.76,0.56,2.66,1.8,,,,,,,
November,4.37,1.63,0.49,1.52,4.33,2.28,1.08,2.9,4.13,5.46,2.32,1.31,1.66,3.97,0.35,4.88,1.34,0.84,2.57,4.62,5.75,2.32,0.6,,,,,,,
December,1.19,1.07,0.35,5.13,3.1,3.22,1.77,2.91,1.54,0.94,1.72,2.74,1.21,1.69,4.53,2.5,1.56,3.86,0.95,1.44,2.2,1.77,0.75,,,,,,,
Total,,30.58,23.37,21.04,27.39,28.72,24.95,21.61,29.5,23.34,23.48,23.3,22.62,24.81,22.73,29.9,22.17,28.53,23.04,29.85,29.96,25.22,20.11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Apr gauge moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
