"GLOUCESTER GLOUCESTER PARK ROAD",,,,,,,,,,,,
Grid ref,SO833179,Long,-2.243900,Lat,51.859432,,,,,,,
Station no,2168,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,3.31,3.19,1.12,,,0.89,0.70,,
February,,,,1.37,3.31,0.80,,,0.87,0.57,,
March,,,,3.55,1.43,3.70,,,2.88,2.72,,
April,,,,1.89,1.01,2.50,,,1.95,1.76,,
May,,,,4.22,2.16,0.23,,,1.54,0.91,,
June,,,,3.54,0.91,4.66,,,0.64,3.33,,
July,,,,3.40,2.64,1.05,,,1.84,2.17,,
August,,,,2.91,2.30,4.83,,,3.36,1.79,,
September,,,,2.96,1.46,1.86,,,1.96,2.65,,
October,,,,7.85,0.55,1.29,,,1.63,3.53,,
November,,,,1.34,1.31,2.67,,,0.96,0.86,,
December,,,,1.40,1.86,0.74,,,1.89,3.46,,
Total,,,,37.74,22.13,25.45,,,20.41,24.45,,
Calc annual,0.00,0.00,0.00,37.74,22.13,25.45,0.00,0.00,20.41,24.45,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,NaN,NaN,0.00,0.00,,
