GOATHLAND - THWAITEFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ834013,Long,-0.717,Lat,54.400,Elevation,485,ft,,,,,,,,,,,,
Station no,RR3132,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,3.96,1.89,4.14,4.54,1.50,3.68,1.18,5.74,2.31,3.70,3.27,3.13,4.00,-999.00,2.25,1.62,1.97,2.35,4.97,2.88
February,3.94,1.23,1.90,0.86,2.09,4.63,3.35,0.82,1.83,1.67,1.12,0.28,2.44,-999.00,1.73,2.68,1.81,1.32,1.53,1.30
March,0.76,2.26,3.07,2.68,1.91,1.65,5.23,2.19,1.39,5.35,,1.18,2.93,-999.00,1.00,2.27,0.87,1.63,3.41,0.17
April,2.09,0.84,0.38,2.73,0.78,0.92,1.43,3.40,1.63,1.90,,1.12,1.75,1.17,1.68,2.40,0.78,1.65,1.55,1.23
May,3.28,1.02,2.47,1.79,1.46,1.34,2.33,1.31,2.00,0.95,1.62,2.13,0.91,2.51,4.14,2.16,1.52,0.97,1.21,1.19
June,1.99,3.36,5.21,2.11,2.94,0.37,1.53,2.70,0.42,1.27,0.78,0.33,1.81,0.96,0.95,0.38,2.85,3.14,4.39,1.87
July,2.56,1.18,4.05,0.79,4.38,5.37,1.42,1.74,2.35,2.20,6.52,1.79,3.50,2.81,3.65,2.03,2.95,2.58,0.61,2.48
August,3.40,3.40,4.38,0.89,1.21,2.33,2.95,6.10,3.05,2.26,2.25,4.10,3.50,3.50,1.67,3.50,2.52,6.66,2.98,3.09
September,1.20,2.23,2.48,1.15,1.56,2.48,1.19,1.20,4.00,0.92,1.35,0.94,2.60,1.90,2.12,2.45,1.90,4.32,0.87,0.35
October,3.57,2.74,2.76,3.83,2.17,1.30,3.03,2.95,2.34,3.50,1.89,1.63,1.92,2.01,3.21,1.78,3.41,2.53,3.67,2.47
November,4.66,4.45,3.51,1.83,3.42,2.77,3.77,1.84,1.29,3.40,0.77,2.48,1.56,5.02,1.59,5.07,3.45,4.92,3.18,2.72
December,2.73,4.40,1.31,1.82,5.66,6.51,3.59,1.60,4.25,4.15,3.30,1.78,3.80,3.65,3.05,6.25,1.57,3.70,1.76,5.97
Total,34.14,29.00,35.66,25.02,29.08,33.35,31.00,31.59,26.86,31.27,,20.89,30.72,31.35,27.04,32.59,25.60,35.77,30.13,25.72
,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/042,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/019,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# The readings for March and April 1920 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,
# The readings for January-March 1923 are apportioned.,,,,,,,,,,,,,,,,,,,,
