CROWCOMBE-REXTON-GORSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST129343,Long,-3.2445,Lat,51.1015,Elevation,530,ft,,,,,,,,,,,,
Station no,2088/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.36,6.72,4.94,6.85,2.62,4.52,4.04,7.18,2.21,,,2.85,,0.96,0.9
February,,,,,,2.74,5.42,1.08,1.92,2.35,3.82,0.28,1.77,0.71,,,1.5,,1.36,6.9
March,,,,,,3.38,4.81,0.13,1.68,3.09,4.18,2.32,1.4,0.26,,,6,,1.69,1.14
April,,,,,,2.09,3.13,0.14,3.72,2.54,2.25,2.19,0.85,1.79,0.55,,3,,2.24,2.57
May,,,,,,1.04,3,2.67,1.31,1.96,2.01,5.63,3.33,1.25,3.41,,3.57,,2.01,2.13
June,,,,,,3.32,0.67,1.55,3.06,,1.55,0.64,1.47,2.79,2.57,,2.06,,0.52,1.58
July,,,,,,5.11,2.57,2.28,5.3,4.45,2.17,1.68,2.21,1.39,2.8,,1.25,,4.06,4.2
August,,,,,,0.58,1.11,5.29,2.4,0.15,3.92,4.76,2.94,2.47,1.9,,1,,2.28,4.05
September,,,,,,,3.02,2.2,1.47,1.32,1.35,2.42,4.16,3.42,2.77,,1.53,,2.91,5.81
October,,,,,,,3.37,4.94,4.67,5.88,3.36,2.52,2.88,4.66,4.7,,0.91,,7.15,1.49
November,,,,,,,2.46,5.52,7.29,9.34,2.99,1.59,3.84,6.86,1.3,,2.41,,5.75,7.26
December,,,,,,,3.14,4.81,2.08,3.16,2.9,3.65,3.27,3.66,6.51,,2.96,,1.93,2.65
Total,,,,,,,39.42,35.55,41.75,,35.02,31.72,35.3,31.47,,,29.04,,32.86,40.68
,,,,,,,,,,,,,,,,,,,,
1936 Sept-Dec No record owing to illness of observer,,,,,,,,,,,,,,,,,,,,
1940 June Estimated from nearby stations,,,,,,,,,,,,,,,,,,,,
1945 Jan 1st to Mar 24th lost,,,,,,,,,,,,,,,,,,,,
1948 Monthly totals only now kept,,,,,,,,,,,,,,,,,,,,
1951 Record terminated on death of observer,,,,,,,,,,,,,,,,,,,,
