POWIS-CASTLE,,,,,,,,,,
Grid ref,SJ218066,Long,-3.1573795,Lat,52.65147,Elevation,336,ft.,,
Station no,4251/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,4.53
October,,,,,,,,,,5.46
November,,,,,,,,,,5.84
December,,,,,,,,,,4.67
Total,,,,,,,,,,
,,,,,,,,,,
NGR is from 1950s record sheet and is Powis Castle. Altitudes match.,,,,,,,,,,
"MIDAS src_id 9715 ends 1979 but places gauge 100m S, did gauge move?",,,,,,,,,,
