WOOTTON-FERNHILL-(BRIDGE-HOUSE),,,,,,,,,,,,,,,,,,,,
Grid ref,SZ548919,Long,-1.225,Lat,50.7238,Elevation,12,ft,,,,,,,,,,,,
Station no,607/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,5.25,6.91,4.27,7.93,2.97,4.44,4.57,5.48,2.06,1.58,2.75,3.04,4.72,,
February,,,,,,2.97,6.04,0.64,1.16,4.24,3.19,0.33,1.54,0.49,2.02,2.59,1.76,1.11,,
March,,,,,,2.2,4.2,0.41,1.66,3.26,5.16,3.03,0.84,0.21,0.98,1.1,5.98,0.94,,
April,,,,,,2.04,2.57,0,2.52,1.02,1.45,1.86,0.93,1.69,1.26,2.29,1.85,2.02,,
May,,,,,,0.35,2.48,1.79,0.93,0.76,2.35,3.46,2.5,0.52,1.62,2.51,1.11,2.68,,
June,,,,,2.35,4.23,0.73,0.96,1.48,0.19,0.95,0.75,1.31,1.47,2.36,3.34,1.41,2.19,,
July,,,,,1.34,3.54,1.41,2.41,3.49,2.15,1.62,1.21,2.4,2.97,1.67,1.44,1.5,1.04,,
August,,,,,3.81,0.35,1.77,2.19,1.55,0,4.56,2.13,1.19,2.22,3.31,4.55,0.81,4.56,,
September,,,,,4.56,3.13,3.03,1.57,0.87,2.15,0.92,1.79,1.6,1.57,2.04,3.63,1.43,2.32,,
October,,,,,4.83,1.05,3.13,4.16,9.56,4.53,0.85,3.17,3.8,4.57,3.42,0.88,1.33,2.08,,
November,,,,,8.53,6.33,2.07,4.76,6.78,8.83,3,1.1,1.57,6.09,0.32,4.94,1.72,1.91,,
December,,,,,3.92,3.4,6.16,3.46,2.35,2.34,2.03,4.16,2.66,2.61,5.07,3.26,3.77,4.96,,
Total,,,,,,34.84,40.5,26.62,40.28,32.44,30.52,27.56,25.82,26.47,25.65,33.28,25.71,30.53,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1934 Moved ½ NE mile from Fernhill,,,,,,,,,,,,,,,,,,,,
"1940 Aug has dash, but as do others in area, so assume 0",,,,,,,,,,,,,,,,,,,,
