HOREHAM-MANOR,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ5750517353,Long,0.24013984,Lat,50.934122,Elevation,250,ft,,,,,,,,,,,,
Station no,RR6737,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,0.74,1.37,2.39,4.4,1.3,5,1.04,1.77,1.18,3.41,1.6,2.74,,,,,,,
February,,1.45,1.67,-999,3.14,0.65,2.86,1.57,1.39,0.44,4.37,1.77,2.56,,,,,,,
March,,2.32,1.56,-999,1.08,4.45,1.65,0.95,2.51,3.75,1.81,2.82,4.7,,,,,,,
April,,2.28,0.62,2.34,1.01,1.68,1.59,3.4,1.87,1.75,1.92,1.87,0.04,,,,,,,
May,,0.77,2.07,-999,2.41,0.98,2.15,2.83,0.81,1.07,2.44,0.81,1.55,,,,,,,
June,,1.13,2.99,-999,2.06,3.22,1.82,2.65,1.17,1.52,2.07,2.17,2.99,,,,,,,
July,,4.32,0.94,5.08,0.74,0.63,0.43,1.62,3.62,2.28,2.35,0.36,1.1,,,,,,,
August,,0.5,-999,3.39,1.45,2.63,0.93,1.89,3.6,2.92,2.13,0.94,8.07,,,,,,,
September,,2.56,-999,2.62,1.17,2.61,1.25,0.83,1.68,3.12,0.19,1.9,3.46,,,,,,,
October,,2.19,2.58,5.96,2.48,2.34,4.82,5.82,2.24,8.22,3.79,7.48,,,,,,,,
November,,0.36,2.56,2.51,1.47,5.13,6.87,2.58,1.16,1.43,5.73,6.8,,,,,,,,
December,,4.63,2.18,1.96,3.39,1.1,2.05,3.05,3.85,5.34,4.15,6.91,,,,,,,,
Total,,23.25,21.88,35.72,24.8,26.72,31.42,28.23,25.67,33.02,34.36,35.43,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1902 Aug Sep -999 (3.34),,,,,,,,,,,,,,,,,,,,
1903 Feb Mar -999 (4.01),,,,,,,,,,,,,,,,,,,,
1903 May Jun -999 (5.46),,,,,,,,,,,,,,,,,,,,
