"LINDEAN RESERVOIR",,,,,,,,,,,,
Grid ref,NT504289,Long,-2.787740,Lat,55.551262,,,,,,,
Station no,5063,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,1.87,3.67,,
February,,,,,,,,,0.76,5.33,,
March,,,,,,,,,0.90,2.12,,
April,,,,,,,,,2.55,1.68,,
May,,,,,,,,,0.48,1.85,,
June,,,,,,,,,3.31,1.66,,
July,,,,,,,,,2.66,3.17,,
August,,,,,,,,2.70,0.43,4.00,,
September,,,,,,,,2.66,1.04,1.32,,
October,,,,,,,,2.17,3.29,3.36,,
November,,,,,,,,0.66,5.60,3.44,,
December,,,,,,,,4.18,3.41,2.74,,
Total,,,,,,,,,26.30,34.34,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.37,26.30,34.34,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
