REIGATE-THURSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ250507,Long,-0.210651,Lat,51.241791,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.26,2.36,1.43,2.87,4.33,0.77,4.22,1.23,1.37,3.06,3.98,2.62,2.61,3.44,1.61,3.01,2.85,3.29,2.43,3.52,1.55,3.58,1.76,2.3,2.6,2.16,1.2,5.54,5.46,3.42,4.98,2.38,2.45,3.32,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.61,3.73,1.42,2.2,1.22,4.88,5.22,5.08,0.99,1.38,2.44,0.51,0.18,2.27,4.1,0.91,3.92,3.05,4.57,1.59,0.45,0.92,2.12,0.53,2.68,0.37,3.64,2.09,4.5,0.89,1.41,2.75,3.26,1.36,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,3.62,1.21,2.14,4.86,2.9,5.04,0.74,4.62,1.92,0.99,3.81,1.64,1.38,2.16,1.95,1.57,0.68,0.33,3.43,1.4,0.02,1.74,0.52,1.51,3.51,2.43,1.14,1.83,3.32,0.26,1.54,3.18,3.47,1.86,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.92,1.71,2.01,0.05,3.16,1.14,1.3,1.24,2.63,3.78,3.09,3.94,1.1,3.2,2.26,3.42,3.35,4.49,2.37,1.81,0.89,1.1,4.71,2.46,0.64,2.71,3.48,1.91,3.26,0.09,2.64,2.15,1.73,1.61,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.87,2.22,3.42,1.48,1.95,1.38,2.86,2.67,1.68,2.07,0.21,0.97,1.7,0.78,2.77,2.8,2.76,1.81,1.19,2.01,2.08,2.49,3,4.82,2.14,0.53,1.74,0.65,2.45,1.87,1.36,1.72,1.77,3.5,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,2.74,2.24,2.89,3.53,0.48,0.54,0.82,2.01,1.52,0.68,0.88,1.77,0.09,1.59,0.32,3.16,0.18,3.72,4.66,2.86,1.24,0.52,1.37,1.61,1.75,0.84,4.37,4.15,2.02,0.64,1.1,0.36,2.28,0.09,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,3.97,3.07,0.31,1.47,4.16,2.39,4.05,1.02,4.13,4.05,2.08,4.81,0.13,2.23,3.25,3.23,4,2.17,2.56,1.56,1.49,2.51,3.06,2.59,1.74,2.82,0.83,4.03,1.27,2.18,2.43,2.3,3.24,1.98,1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.36,3.01,0.48,5.89,1.96,1.27,1.79,3.56,5.83,1.93,2.32,1.92,0.83,2.66,2.29,3.59,2.9,2.25,5.01,2.4,2.06,2.88,5.27,0.84,0.93,2,3.74,0.65,1.11,1.93,2.89,0.03,4.29,2.71,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,3.46,0.86,1.27,3.29,2.01,1.03,2.67,2.04,1.9,5.52,1.28,4.55,0.54,1.55,1.08,3.16,2.71,0.95,5.16,0.47,0.13,3.79,1.51,2.08,2.7,1.69,4.39,2.24,1.96,2.36,1.85,1.65,0.4,2.41,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,4.54,2.66,4.25,3.1,4.47,1.98,2.53,5.09,3.32,1.35,0.6,1.33,1.02,0.84,5.79,3.81,3.28,2.02,1.84,6.09,3.31,1.36,0.7,7.09,2.51,2.23,4.16,1.98,3.33,3.27,6.61,2.8,1.25,4.08,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
