"BRIDGWATER ASHFORD",,,,,,,,,,,,
Grid ref,ST236385,Long,-3.093457,Lat,51.140650,,,,,,,
Station no,2085,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.64,1.96,1.34,3.43,3.25,1.03,5.38,1.45,0.88,1.55,,
February,4.38,0.68,1.20,1.84,5.20,0.96,2.15,1.29,1.60,0.47,,
March,1.27,2.23,2.23,3.25,2.01,3.78,1.82,0.63,3.34,2.86,,
April,1.22,3.11,1.24,1.72,1.02,2.12,1.10,4.45,2.20,1.76,,
May,1.96,1.19,1.78,3.07,2.11,0.44,4.20,2.33,1.33,0.98,,
June,2.20,1.63,2.93,3.82,0.99,3.38,2.07,2.09,0.21,3.03,,
July,0.63,1.67,1.55,4.02,2.92,1.36,0.82,2.77,1.28,1.26,,
August,2.98,1.95,1.83,3.90,2.44,5.42,2.12,2.48,2.10,1.85,,
September,0.54,2.11,2.91,3.45,1.75,1.27,0.67,0.51,4.47,2.56,,
October,3.69,1.69,2.68,6.63,1.90,1.16,3.70,5.99,3.00,4.36,,
November,3.77,0.52,3.60,2.05,1.79,3.20,2.53,3.16,1.46,1.30,,
December,5.16,6.42,1.91,3.13,1.84,1.08,1.80,5.33,3.09,4.36,,
Total,32.44,25.16,25.20,40.31,27.22,25.20,28.36,32.48,24.96,26.34,,
Calc annual,32.44,25.16,25.20,40.31,27.22,25.20,28.36,32.48,24.96,26.34,,
Difference,0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
