SUNDERLAND WEST HENDON HOUSE No. 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ397558,Long,-1.382535,Lat,54.895364,Elevation,130,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,1.78,1.16,1.11,1.79,0.93,1.45,1.54,1.78,4.09,1.04,2,1.09,2.99,2.6,1.6,0.71,2.43,1.86,0.26,2.45,0.34,1.11,0.65,2.35,1.51,2.72,3.74,1.58,2.53,0.75,2.87,2.39,2.85,2.78,3.6,2.73,1.11,1.98,1.53,2.09,1.26,2.37,2.96,3.61,2.58,0.86,2.08,1.6,2.79,3.76,2.52,2.07,3.65,2.41,4.07,3.33,2.99,0.73,4.67,1.22,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,0.52,1.19,1.41,1.42,0.04,1.82,2.28,2.23,1.33,0.59,1.4,0.86,0.99,5.07,1.83,1.29,1.05,2.21,0.59,1.04,1.07,1.28,1.45,2.37,1.02,2.29,0.55,0.99,2.87,2.13,0.77,1.14,1.8,0.94,0.2,1.96,3.49,1.46,2.63,2.22,0.83,1.13,0.81,1.57,1.28,0.94,2.83,0.53,2.73,2.89,3.23,0.97,0.72,2.18,5.8,1.73,0.47,1.61,1.22,0.41,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.91,5.02,2.91,2.03,3.5,1.46,0.62,0.63,2.16,1.91,2.68,1.49,2.34,2.06,1.92,0.64,1.21,1.07,1.48,1.03,0.96,2.63,4.47,0.65,2.16,1.94,2.77,1.88,2.03,3.03,2.58,1.06,2.61,3.27,0.84,1.64,1.3,1.09,1.71,1,1.81,2.33,0.16,2.15,1.27,2.91,1.24,2.57,0.7,1.95,3.67,0.25,2.09,2.02,2.41,0.81,0.76,0.67,0.42,0.88,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,0.6,1.45,2.05,0.69,1.65,1.16,0.48,0.76,1.29,0.65,1.44,2.51,2.18,0.83,0.9,1.49,1.74,0.97,2.47,0.82,2.02,2.76,2.52,1.95,1.34,0.2,3.33,0.64,0.66,1.53,2.47,1.35,1.78,2.67,1.23,1.6,1.77,1.84,2.51,0.91,1.48,1.13,1.36,1.95,3.19,1.33,0.94,3.58,2.9,1.72,2.63,0.22,0.82,1.25,0.9,0.7,0.79,1.94,1.24,1.49,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.39,0.56,1.88,2.25,1.51,1.94,1.33,2.49,0.81,0.95,1.4,2.26,3.74,1.26,2.15,2.29,2.35,2.68,0.58,5.36,4.12,1.38,1.69,2.62,1.01,2.46,2.55,1.41,1.82,2.13,2.66,1.88,0.92,3.36,1.86,0.87,2.54,6.88,2.64,1.67,1.83,1.31,1.07,1.29,2.65,4.56,1.37,1.11,1.08,2.03,3,3.37,1.42,0.95,1.48,1.08,2.05,1.87,3.36,1.7,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,0.86,0.41,2.04,0.24,3.02,0.31,2.9,1.1,3.66,1.63,1.85,2.69,2.06,2.61,3.62,1.48,2.31,2.84,1.59,0.76,1.13,2.64,0.76,2.47,1.78,4.83,4.65,1.3,3.67,0.5,2.03,0.99,0.47,1.1,0.63,1.27,1.5,1.05,2.45,0.1,2.88,4.14,4.52,1.78,1.5,3.19,1.25,2.02,2.23,2.66,2.94,2.06,2.51,2.48,1.03,0.42,1.53,1.57,2.39,2.11,3.24,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,4.88,1.26,6.54,3.17,1.72,3.84,1.37,3.53,2.47,6.77,2.34,1.25,0.85,2.58,2.11,2.73,2.78,4.67,1.41,0.97,0.98,1.81,2.48,2.65,2.1,0.82,3.83,0.72,3.44,2.16,2.87,0.81,3.89,1.48,4.67,1.79,4.6,1.23,5.73,2.5,2.73,4.25,1.59,2.51,5.67,4.16,2.61,1.87,1.65,0.42,2.69,3.09,2.85,2.76,6.88,0.81,3.03,2.27,2.97,1.99,1.97,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,1.39,2.23,2.01,3.8,6.9,3.83,4.17,2.06,2.66,3.76,1.34,2.7,1.85,0.95,5.35,2.51,1.98,2.23,2.92,2.71,2.14,2.6,1.26,2.95,2.93,2.4,4.17,0.89,1.9,2.26,2.68,6.34,1.02,2.08,1.84,3.64,2.27,3.07,2.43,2.8,2.45,5.96,3.33,2.66,4.65,3.05,2.53,1.31,3.38,1.89,2.96,1.86,1.52,2.19,1.41,2.3,1.67,4.63,1.73,4.49,2.7,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.64,5.47,1.46,0.99,1.91,1.84,2.77,1.51,0.83,0.4,2.54,2.51,0.44,2.48,0.66,1.07,0.67,2.53,0.72,1.82,0.4,0.37,1.65,1.94,0.63,2.05,1.84,2.64,1.65,1.9,1.65,1.3,4.82,1.1,1.25,0.8,4.42,1.63,2.36,3.1,2.35,3.55,1.13,1.06,3.33,3.59,1.94,1.77,1.39,4.92,2.42,1.83,2.12,1.3,1.58,0.54,3.35,3.41,5.35,1.92,3.68,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,3.43,3.22,0.6,3.76,2.45,1.8,4.88,0.85,4.55,4.81,5.65,1.31,3.28,2.78,7.05,1.83,2.34,8.16,0.6,3.32,5.39,3.37,0.99,2.33,2.52,2.29,3.56,1.78,1.67,1.61,2.61,2.22,2.05,5.44,2.39,1.88,1.75,2.28,3.99,2.07,2.93,1.86,2.83,2.55,1.7,1.48,3.64,4.08,3.13,3.91,1.5,2.03,3.31,4.31,2.69,4.24,2.27,1.61,2.75,3.06,0.92,0.43,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
