SUNDERLAND WEST HENDON HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ397558,Long,-1.382535,Lat,54.895364,Elevation,125,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,1.73,1.36,4.19,1.71,1.73,1.36,0.91,2.13,1,1.59,2.19,0.49,2.92,2.26,1.3,0.5,1.12,0.61,1.39,2.94,1.5,3.14,1.82,1.13,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,1.52,1.52,0.54,0.73,1,1.27,1.67,2.13,1.64,0.94,1.11,1.96,1.67,0.97,3.23,1.57,3.6,0.44,1.85,1.3,0.88,0.88,0.51,1.08,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.25,2.34,1.89,1.09,1.71,0.78,0.66,2.72,1.76,1.19,0.5,2.07,2.47,0.88,0.69,1.65,2.93,1.01,2.05,2.44,1.87,3.08,1.89,5.13,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,1.88,1.43,2.22,1.4,0.67,2.95,2.2,1.45,0.65,0.66,3.28,4.55,2.3,2.08,1.8,1.04,3.73,1.35,1.69,1.7,1.83,0.58,1.46,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,1.04,2.3,1.29,2.64,1.21,1.13,1.62,2.41,2.87,1,1.04,2.4,3.09,1.87,1.34,1.48,2.61,1.65,0.72,3.38,2.58,1.39,0.56,1.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,0.77,2.08,1.76,0.36,1.09,1.75,2.7,2.53,1.26,0.61,2.29,1.59,1.49,1.68,4.44,1.28,1.38,3,2.6,0.75,1.95,0.87,0.4,2.08,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.86,4.85,3.35,0.91,0.96,0.39,3.69,2.96,2.7,1.08,4.14,2.73,2.78,0.48,3.79,4,3.07,4.21,3.45,3.19,1.28,4.86,1.26,6.64,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,3.33,3.12,2.63,1.63,1.41,2.5,0.64,3.05,2.5,2.76,2.89,1.77,5.34,4.7,3.11,2.17,4.57,2.83,2.6,0.56,3.34,1.36,2.2,2.01,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,0.58,4.34,1.84,3.77,3.42,0.62,4.25,4.18,1.83,1.94,1.87,3.52,1.5,1.37,1.17,4.32,4.19,1.7,4.35,0.94,2.39,1.64,5.49,1.49,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,5.77,1.61,1.08,1.85,2.65,3.67,1.5,5.38,2.06,1.49,3.31,1.71,2.38,1.56,0.76,4.27,2.74,2.91,1.81,1.58,4.59,3.44,3.17,0.58,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
