"ECCLESTON ELSWICK LODGE 5"" field",,,,,,,,,,,,,,,,,,,,
Grid ref,SD435384,Long,-2.859,Lat,53.8388,Elevation,55,ft,,,,,,,,,,,,
Station no,RR2295,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.53,2.15,5.4,4.54,2.35,4.26,2.69,1.32,1.34,4.92,1.5,2.89,1.79,2.84,2.51,1.78,1.31,3.42,4.64
February,,4.67,1.74,2.36,2.75,3.99,1.39,2.19,0.59,2.12,0.68,0.17,1.48,4.47,4.93,0.29,1.37,2.91,2.16,2.15
March,,3.29,2.7,1.19,2.98,3.2,3.46,2.18,2.62,1.81,3.27,0.75,0.89,0.71,2.61,3.72,4.37,4.06,0.46,2.86
April,,1.36,4.05,2.22,1.02,1.39,2.42,1.15,1.29,2.46,1.1,2.13,1.18,0.36,1.1,2.26,1.69,2.67,2.25,3.28
May,,3.73,1.98,1.13,2,1.59,4.09,1.49,1.52,3.11,2.27,1.73,4.13,1.64,2.24,0.52,0.38,1.42,3,3.17
June,,3.25,4.07,3.1,0.71,1.74,1.75,0.71,1.61,0.56,3.3,1.86,2.83,1.13,3.55,1.74,2.87,5.73,1.91,1.83
July,,4.75,5.79,2.66,4.81,1.83,5.14,2.53,6.94,2.43,2.92,2.6,1.51,3.75,2,4,5.56,1.67,0.47,2.06
August,,7.04,3.8,2.83,2.7,1.88,1.87,2.13,3.29,5.27,5.26,9.48,5.82,3.8,4.93,4.18,3.26,4.18,5.58,1.62
September,,2.28,1.91,5.72,3.49,5.82,4.62,4.12,1.58,3.23,3.92,5.66,4.74,4.66,0.49,1.28,5,3.65,1.38,5.54
October,,1.98,4.54,4.08,2.13,4.03,5.23,2.51,2.99,3.76,2.62,3.56,4.37,5.74,3.49,4.69,4.24,2.13,3.87,3.7
November,,4.88,5.04,4.1,1.91,3.18,3.42,2.58,4.8,1.77,5.91,4.46,3.08,1.89,3.57,3.02,1.45,5.1,4.1,2.59
December,,3.83,3.05,1.92,4.19,1.53,5.2,2.25,2.49,3.23,0.71,5.9,2.25,3.5,3.56,3.3,4.81,3.43,4.1,3.2
Total,,41.59,40.82,36.71,33.23,32.53,42.85,26.53,31.04,31.09,36.88,39.8,35.17,33.44,35.31,31.51,36.78,38.26,32.7,36.64
