"ECCLESTON ELSWICK LODGE 10"" gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD435384,Long,-2.859,Lat,53.8388,Elevation,55,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,5.99,4.83,3.51,4.75,1.58,5.95,2.69,1.53,0.64,0.52,2.32,5.04,4.27,2.15,3.95,2.53,1.26,1.06,4.18,1.28,2.51,1.7,2.43,2.3,1.5,1.2,3.27,4.18
February,,,3.54,0.89,1.49,0.86,4.09,3.86,1.93,2.92,2.14,4.46,1.75,2.17,2.57,3.77,1.31,2.04,0.62,1.78,0.67,0.17,1.55,3.92,4.15,0.26,1.21,2.07,1.87,2.02
March,,,4.39,3.43,1.95,0.71,2.16,2.86,1.23,1.36,2.48,3.16,2.61,1.16,2.9,3.15,2.93,2.13,2.4,1.61,3.13,0.72,0.86,0.61,2.32,3.55,4.17,3.09,0.47,2.58
April,,,2.42,0.52,1.13,0.69,2.64,2.71,1.57,1.49,1.16,1.38,4.21,2.15,0.96,1.52,2.29,1.09,1.34,2.38,1.18,1.95,1.27,0.38,1.14,2.13,1.73,2.6,2.18,2.91
May,,,1.45,2.06,1.05,2.05,0.32,2.77,4.42,2.19,2.08,3.76,1.93,1.11,1.88,1.58,4.02,1.41,1.37,3.28,2.28,1.71,4.03,1.66,2.49,0.64,0.45,1.46,3.27,3
June,,,4.94,2.37,0.76,4.43,3.47,2.21,4.37,3.61,4.08,3.47,4.35,3.1,0.72,1.79,1.68,0.72,1.62,0.59,3.35,1.97,2.8,1.15,3.6,1.73,3.08,5.61,1.87,1.82
July,,,4.88,4.26,2.3,5.49,2.92,6.05,0.74,4.8,3.02,4.89,6.11,2.65,5.03,1.85,5.08,2.51,6.67,2.38,2.95,2.66,1.48,3.72,2.3,4.13,5.52,1.76,0.49,1.95
August,,,3.85,3.81,5.68,2.95,3.59,6.38,5.04,6.28,1.76,7.19,4.16,2.75,2.81,1.93,1.84,2.05,3.23,5.1,5.36,9.54,5.84,3.61,4.85,4.18,3.33,4.25,5.44,1.64
September,,,6.99,2.17,4.02,4.97,4.32,4.56,4.23,3.49,4.13,2.28,1.99,5.73,3.51,5.8,4.56,4.06,1.47,3.07,4.01,5.6,4.81,4.65,0.51,1.34,4.91,3.69,1.34,5.47
October,,,5.93,5.44,6.29,4.4,2.63,5.74,4.19,1.99,2.48,2.04,4.78,4.18,2.37,4.11,5.19,2.42,2.75,3.69,2.69,3.06,4.23,5.69,3.3,4.73,4.18,2.09,3.74,3.38
November,,,4.09,1.86,4.44,4.75,3.34,5.84,3.04,0.81,3.86,4.97,5.5,4.19,1.71,3.09,3.46,2.39,4.31,1.5,5.09,4.21,2.72,1.66,3.09,2.71,1.22,4.74,3.37,2.24
December,,,3.42,1.31,3.35,1.73,4.79,5.24,2.14,1.74,5.25,4.07,3.17,2.09,4.29,1.47,5.04,2.11,1.93,2.87,0.63,5.22,2.06,3.01,2.89,2.73,3.88,2.94,3.51,2.82
Total,,,51.89,32.95,35.97,37.78,35.85,54.17,35.59,32.21,33.08,42.19,42.88,36.32,33.02,32.21,41.35,25.46,28.97,29.31,35.52,38.09,34.16,31.76,33.07,30.43,35.18,35.5,30.82,34.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Totals 1870, 1871 estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
