"GRANTHAM STAINBY",,,,,,,,,,,,
Grid ref,SK905227,Long,-0.659293,Lat,52.794286,,,,,,,
Station no,2532,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.80,0.77,0.70,1.83,2.80,0.68,3.11,0.74,0.83,0.61,,
February,4.85,2.65,1.40,0.97,2.72,0.72,1.51,1.00,1.11,0.24,,
March,1.11,1.13,1.50,2.17,1.76,1.96,1.40,1.21,2.41,3.70,,
April,0.65,1.61,1.87,1.98,0.85,1.35,0.54,2.02,1.65,1.25,,
May,1.45,1.09,2.57,4.06,1.46,0.45,1.57,2.96,2.22,1.18,,
June,1.79,2.11,1.87,1.68,0.31,3.41,2.66,1.94,0.83,2.53,,
July,1.40,3.70,1.43,1.72,1.97,1.40,0.92,2.59,2.35,3.22,,
August,3.19,1.46,3.28,4.89,1.85,2.33,0.83,2.55,2.71,1.96,,
September,0.21,1.01,1.24,3.21,1.62,2.68,1.16,1.12,1.60,3.11,,
October,2.06,1.63,2.14,6.06,0.37,1.50,4.14,5.12,1.18,2.78,,
November,1.87,1.15,2.09,1.88,0.92,2.55,2.15,2.15,0.87,0.36,,
December,4.02,4.34,1.55,0.82,1.43,0.68,2.86,2.89,1.35,4.57,,
Total,26.40,22.65,21.64,31.27,18.06,19.71,22.85,26.29,19.11,25.51,,
Calc annual,26.40,22.65,21.64,31.27,18.06,19.71,22.85,26.29,19.11,25.51,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
