EXFORD-NEW-RECTORY,,,,,,,,,,
Grid ref,SS857384,Long,-3.634979,Lat,51.133432,Elevation,950,ft,,
Station no,2116/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.99,7.46,6.8
February,,,,,,,,6.7,0.31,5.58
March,,,,,,,,1.95,4.66,2.98
April,,,,,,,,1.88,5.96,3.68
May,,,,,,,,5.9,1.59,2.44
June,,,,,,,,3.16,2.65,2.95
July,,,,,,,,4.04,4.35,8.04
August,,,,,,,,5.62,4.31,6.02
September,,,,,,,,8.58,0.39,4.92
October,,,,,,,,5.56,7.7,12.23
November,,,,,,,,3.35,8.75,10.45
December,,,,,,,4.68,6.18,14.38,11.83
Total,,,,,,,,58.91,62.51,77.92
,,,,,,,,,,
1958 Not printed Low,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as EXFORD RECTORY SRC_ID 8183,,,,,,,,,,
1957-1983,,,,,,,,,,
