FONTHILL-HOUSE-GDNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST926323,Long,-2.107038,Lat,51.089963,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,5.83,1.5,4.93,1.97,1.36,4.93,6.39,5.41,4.26,5.35,1.77,4.46,4.06,6.31,3.67,6.28,1.78,5.89,2.95,3.55,3.38,3.9,0.98,4.98,6.86,4.29,6.3,3.08,4.04,3.84,7.63,3.52,2.32,4.17,3.43,8.43,1.27,0.56,4.87,3.94,0.92,2.67,3.35,7.01,3.81,4.24,5.98,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.24,5.13,6.94,7.04,1.21,2.43,3.21,1.59,0.43,3.72,7.28,0.77,5.73,2.43,5.28,2.9,1.11,1.06,3.18,0.17,5.09,0.13,4.23,3.06,6.76,1.23,2.2,3.71,4.03,,1.42,0.82,3.24,3.77,1.64,2.17,1.96,7.14,7.52,1.08,2.43,3.54,2.58,0.29,4.9,3.78,0.47,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,3.42,6.22,1.27,3.53,3.77,1.2,5.98,2.79,2.27,3.33,2.65,1.64,0.53,1.05,4.5,3.06,0.21,1.68,0.85,2.52,4.15,3.35,1.34,3.76,5.11,0.32,1.86,2.98,4.42,2.57,0.98,0.44,1.34,1.13,8.16,1.39,1.76,1.68,5.02,4.26,0.7,4.24,1.89,1.62,2.82,2.11,4.75,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,3.71,2.05,1.67,1.18,3.17,2.74,2.77,5.93,0.9,4.15,3.29,4.08,3.34,4.37,2.5,1.75,0.95,2.74,3.13,4.1,1.74,2.7,4.32,2.25,2.29,0.13,2.97,1.89,1.88,2.06,1.13,1.6,0.98,3.17,3.04,1.97,2.23,3.73,4.42,2.82,3.79,0.33,0.88,1.57,0.35,1.26,3.44,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,3.3,2.2,4.24,2.44,2.19,2.21,0.77,1.56,2.15,0.94,2.15,5.87,4.44,2.63,1.48,2.55,2.64,2.29,2.99,4.37,3.06,0.99,0.91,0.65,2.87,2.8,0.8,1.21,2.27,4.85,2.78,0.64,3.25,4.93,2.42,5.05,3.33,2.04,3.46,4.19,2.02,3.64,4.65,0.54,2.78,3.2,1.71,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.75,1.42,0.72,2.73,6.53,1.58,0.76,2.73,0.36,1.14,0.59,2.59,0.05,3.1,3.67,2.77,1.72,1.26,3.47,2.18,2.66,1.32,4.46,2.87,0.73,1.83,2.87,1.12,2.34,0.83,1.88,2.26,4.23,3.81,1.91,3.86,0.63,1.46,0.93,1.99,2.29,3.88,3.1,2.66,2.34,4.49,0.91,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,0.63,4.48,4.92,1.88,4.42,7.15,2.01,6.61,0.55,4.49,1.72,5.54,3.43,2.07,2.57,2.27,1.96,2.67,5.78,2.73,3.58,1.98,0.56,7.23,2.26,3.41,6.4,3,2.12,1.54,3.14,3.66,1.52,1.44,2.27,1.68,1.34,5.77,1.52,0.87,3.86,2.99,1.68,2.74,5.32,1.93,1.75,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.6,3.86,4.02,7.5,6.23,2.93,3.81,2.2,1.85,4.22,3.8,4.27,3.72,1.61,5.18,2.91,1.74,3.78,5.81,1.28,1.08,3.32,3.07,0.46,1.45,3.38,2.56,0.54,6.05,4.48,3.62,3.23,2.01,5.78,0.84,4.85,2.75,5.11,6.11,6.2,3.7,3.19,0.75,6.09,3.75,4.44,1.75,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,3.53,1.51,2.24,4.02,2.57,6.61,2.02,1.47,1.38,2.27,2.9,3.94,4.08,1.24,6.59,1.99,0.67,4.43,1.54,4.94,3.31,3.24,4.39,4.23,3.94,2.15,0.99,1.84,0.59,3.17,2.95,2.44,3.63,7.75,1.6,3.73,2.58,4.68,3.72,3.7,3.99,3.31,2.23,4.51,5.04,5.92,0.16,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,4.26,3.82,7.03,7.24,5.7,1.9,1.49,2.95,1.53,1.74,6.39,6.04,5.85,3.67,3.3,6.61,5.56,2.93,0.91,7.08,2.66,2.57,5.45,2.32,6.09,4.42,3.91,5.57,1.67,3.84,3.93,6.03,4.8,1.31,0.81,3.35,7.65,1.53,1.36,5.03,4.17,4.02,3.22,2.17,3.21,3.59,4.26,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
