"FONTHILL HOUSE GARDENS",,,,,,,,,,,,
Grid ref,ST926323,Long,-2.107038,Lat,51.089963,,,,,,,
Station no,1507,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.87,3.94,0.92,2.67,3.35,7.01,3.81,4.24,5.98,5.14,,
February,7.52,1.08,2.43,3.54,2.58,0.29,4.90,3.78,0.47,4.49,,
March,5.02,4.26,0.70,4.24,1.89,1.62,2.82,2.11,4.75,3.18,,
April,4.42,2.82,3.79,0.33,0.88,1.57,0.35,1.26,3.44,2.36,,
May,3.46,4.19,2.02,3.64,4.65,0.54,2.78,3.20,1.71,1.82,,
June,0.93,1.99,2.29,3.88,3.10,2.66,2.34,4.49,0.91,3.13,,
July,1.52,0.87,3.86,2.99,1.68,2.74,5.32,1.93,1.75,4.13,,
August,6.11,6.20,3.70,3.19,0.75,6.09,3.75,4.44,1.75,4.65,,
September,3.72,3.70,3.99,3.31,2.23,4.51,5.04,5.92,0.16,4.89,,
October,1.36,5.03,4.17,4.02,3.22,2.17,3.21,3.59,4.26,10.75,,
November,11.11,4.43,2.17,8.05,4.32,0.89,2.97,2.66,4.98,5.70,,
December,3.92,3.61,1.21,3.81,6.61,5.66,4.01,4.55,10.54,5.82,,
Total,53.96,42.12,31.25,43.67,35.26,35.75,41.30,42.17,40.70,56.06,,
Calc annual,53.96,42.12,31.25,43.67,35.26,35.75,41.30,42.17,40.70,56.06,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
