CANTERBURY-EARLY,,,,,,,,,,
Grid ref,TR151578,Long,1.0827914,Lat,51.278719,Elevation,38,ft,,
Station no,RR6888,,,,,,,,,
,,,,,,,,,,
,1730,1731,1732,1733,1734,1735,1736,1737,1738,1739
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,0.74,,,,,
April,,,,,0.75,,,,,
May,,,,,1.49,,,,,
June,,,,,3.59,,,,,
July,,,,,1.94,,,,,
August,,,,,2.34,,,,,
September,,,,,1.54,,,,,
October,,,,,3.94,,,,,
November,,,,,1.61,,,,,
December,,,,,6.52,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Obs: George Hadley, FRS",,,,,,,,,,
Exact gauge location is unkown so NGR centred on town,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,
