DUBLIN TRINITY COLLEGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IO1631734015,Long,-6.254057,Lat,53.343794,Elevation,42,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,6117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.41,1.41,2.15,1.54,4.48,3.43,3.57,1.88,3.3,2.25,5.28,3.2,2.75,3.83,1.24,2.64,2.66,1.04,1.43,4.15,2.18,3.43,4.15,2.45,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45,1.74,3.87,0.41,1.88,1.21,2.78,0.57,3.21,5.35,0.96,2.11,1.25,1.19,1.48,2.43,4.1,2.24,2.14,1.61,3.35,2.24,3.95,1.99,1.91,1.05,3.32,1.33,2.06,1.33,1.61,1.18,3.41,3.96,2.55,3.41,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1,3.11,1.84,2.37,0.81,1.42,2.63,3.23,0.72,1.47,0.49,2.72,2.16,0.75,2.83,1.93,1.3,1.03,1,0.84,3.67,1.29,0.69,1.17,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22,0.69,1.54,1.18,1.27,0.57,3.55,0.89,2.15,0.52,2.34,2.72,3.29,1.57,1.69,1.46,1.73,0.66,1.24,5.55,0.76,4.04,1.68,2.34,2.35,1.89,1,1.3,0.17,3.37,0.04,3.37,1.83,3.05,0.45,2.19,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.12,2.47,1.65,2.34,1.72,2.85,1.22,2.4,1.07,1.14,2.38,0.61,1.63,0.67,1.5,0.77,3.13,1.14,2.59,2.57,4.18,3.19,2.02,3.51,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11,2.81,1.38,1.85,2.76,2.54,0.78,1.3,2.52,2.14,1.95,1.05,3.19,2.81,0.98,2.15,1.89,1.99,0.98,1.06,0.51,0.59,0.81,2.89,4,0.23,3.3,1.42,1.15,1.66,2.36,0.52,1.53,4.41,0.7,2.1,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.12,0.81,3.34,0.95,0.88,5.97,3.42,3.15,2.57,3.63,1.77,1.28,3.81,0.4,0.59,1.58,3.96,5.08,3.99,2.62,1.48,2.99,1.24,1.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,2.36,1.68,2.59,2.18,3.93,2,1.83,1.18,2.67,0.76,1.34,-999,0.79,1.76,0.9,2.62,0.76,2.19,3.02,1.66,2.31,1.39,1.1,1.13,1.49,0.97,2.99,2.32,1.07,2.34,1.57,1.95,1.76,0.06,1.57,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.94,3.18,4.51,0.21,1.54,2.14,2.21,0.93,2.07,2.42,1.31,2.35,1.04,2.43,1.74,5.49,1.48,1.64,0.68,3.12,0.26,2.66,0.91,1.69,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,1.12,2.41,3.01,1.21,1.42,2.83,1.04,1.07,2.71,1.62,0.51,-999,2.68,2.17,1.55,2.53,1.56,0.62,1.71,2.65,5.23,2.17,0.71,1.11,1.22,1.94,3.63,3.29,2.57,1.62,1.41,1.14,1.51,2.31,0.42,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.84,2,2.6,1.69,4,1.5,1.91,3.92,0.47,1.69,2.71,7.09,1.91,3.93,1.92,2.4,3.28,1.37,1.24,4.59,3.56,2.91,2.39,1.35,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.13,1,2.73,1.36,1.91,5.92,1.53,2.4,1.13,0.9,1.39,2.27,1.68,0.75,2.72,1.83,0.16,0.68,0.96,2.63,0.24,2.07,2.44,4.46,1.5,1.77,3.67,0.33,1.25,1.49,2.48,3.03,1.11,2.76,1.33,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,2.52,2.57,1.93,1.83,3.33,3.14,0.64,2.37,2.69,2.26,3.48,1.96,2.73,2.29,3.68,1.41,1.65,3.34,1.35,2.43,5.28,3.53,0.86,1.06,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,0.78,0.95,1.78,2.02,3.25,2.41,3.05,2.56,0.5,2.27,4.49,1.93,1.76,2.69,1.03,4.75,4.14,2.02,2.35,3.48,2.6,2.27,2.7,1.11,2.14,2.63,3.24,4.16,1.66,1.37,0.58,5.13,1.48,3.77,1.81,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.22,1.24,2.12,3.77,2.52,4.33,1.43,5.1,3.33,1.38,2.01,3.27,1.93,1.24,2.74,2.6,1.2,1.66,1.92,4.75,2.71,2.29,3.06,1.35,2.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,6.52,1.57,2.22,3.22,1.21,3.25,0.96,4.86,0.94,3.11,2.26,2.7,7.35,1.98,2.39,1.34,2.38,4.11,4.05,3.13,1.23,2.14,6.88,2.33,3.65,4.74,3.1,1.3,0.6,3.04,2.24,0.97,3.19,2,1.65,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.88,4.6,0.67,2.55,0.95,2.98,1.35,2.42,3.83,1.99,1.81,2.69,2.39,0.91,1.34,3.88,1.57,3.02,3.01,2.65,3.89,1.77,3.41,2.46,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,1.15,0.8,0.45,2.21,1.84,0.51,0.99,0.49,4.08,1.28,1.2,2.09,1.61,4.59,1.96,0.89,1.3,2.43,1.78,5.34,2.19,1.46,3.26,0.75,0.32,6.5,4.93,2.22,0.85,2.69,3.5,2.56,1.44,1.22,3.36,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,4.89,1.54,3.44,3.32,3.92,4.72,2.13,4.38,3.93,1.24,3.27,3.46,4.32,1.64,4.83,2.03,2.65,3.31,1.62,2.27,1.92,2.8,6.88,5.65,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,1.03,3.18,4.97,1.14,2.47,2.05,3.63,1.59,3.6,1.23,4.24,5.75,2.49,2.15,2.14,5.88,1.85,0.84,2.02,1.72,2.46,2.93,2.69,2.39,2.33,3.55,0.61,2.23,2.19,1.74,2.4,1.33,3.66,3.98,3.44,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
