"DUBLIN TRINITY COLLEGE",,,,,,,,,,,,
Grid ref,IO1631734015,Long,-6.254057,Lat,53.343794,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.45,1.74,3.87,0.41,1.88,1.21,,
February,,,,,3.22,0.69,1.54,1.18,1.27,0.57,,
March,,,,,2.11,2.81,1.38,1.85,2.76,2.54,,
April,,,,,1.13,2.36,1.68,2.59,2.18,3.93,,
May,,,,,2.63,1.12,2.41,3.01,1.21,1.42,,
June,,,,,1.03,1.13,1.00,2.73,1.36,1.91,,
July,,,,,1.06,0.78,0.95,1.78,2.02,3.25,,
August,,,,,2.92,6.52,1.57,2.22,3.22,1.21,,
September,,,,,2.24,1.15,0.80,0.45,2.21,1.84,,
October,,,,,0.42,1.03,3.18,4.97,1.14,2.47,,
November,,,,,1.11,3.65,1.39,2.48,1.15,1.30,,
December,,,,,1.42,1.08,1.78,2.03,1.53,4.20,,
Total,,,,,21.74,24.06,21.55,25.70,21.93,25.85,,
Calc annual,0.00,0.00,0.00,0.00,21.74,24.06,21.55,25.70,21.93,25.85,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,0.00,,
