"YORK (BISHOPTHORPE ROAD)",,,,,,,,,,,,
Grid ref,SE599498,Long,-1.088983,Lat,53.940855,,,,,,,
Station no,3324,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.80,1.52,0.34,1.21,1.03,3.99,0.95,2.11,2.08,4.61,,
February,2.20,0.34,1.88,2.09,1.49,1.36,2.24,3.40,0.21,1.48,,
March,2.29,1.89,0.19,1.57,1.96,0.91,1.70,1.91,0.77,0.96,,
April,0.74,0.98,2.01,0.16,0.93,1.85,0.15,0.58,2.84,0.89,,
May,4.18,1.45,1.63,2.62,2.27,0.66,0.82,3.11,0.45,0.67,,
June,1.05,1.61,1.46,1.91,2.19,2.18,1.94,2.88,1.63,0.66,,
July,2.09,1.51,1.96,1.59,0.94,3.61,3.08,2.70,2.06,5.63,,
August,5.12,1.78,2.80,5.98,0.53,5.75,4.27,2.20,0.25,2.20,,
September,1.78,3.39,1.28,1.85,1.06,1.55,2.88,2.20,0.07,2.88,,
October,1.65,2.56,1.57,3.06,1.45,1.25,1.84,1.50,1.51,4.79,,
November,5.14,1.54,1.86,4.37,1.89,0.61,1.54,0.70,2.66,3.79,,
December,1.83,1.54,1.12,1.98,2.58,2.13,2.37,3.60,2.62,1.79,,
Total,29.87,20.11,18.10,28.39,18.32,25.85,23.78,26.89,17.15,30.35,,
Calc annual,29.87,20.11,18.10,28.39,18.32,25.85,23.78,26.89,17.15,30.35,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
