YORK BISHOPTHORPE ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE599498,Long,-1.089,Lat,53.941,Elevation,54,ft,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,3.2,1.71,1.56,1.85,1.57,1.55,3.18,2.82,2.22,3.59,2.65,2.23,3.19,3.36,2.41,2.87,2.09,2.43,4.75,0.67,1.21,1.8,1.52,0.34,1.21,1.03,3.99,0.95,2.11,2.08,4.61
February,,,0.47,1.99,0.37,3.66,1.75,2.4,2.04,3,1.28,1.47,1.38,2.73,1.16,0.29,1.73,1.88,1.86,1.38,1.09,0.59,3.29,2.2,0.34,1.88,2.09,1.49,1.36,2.24,3.4,0.21,1.48
March,,,2.07,0.34,1.59,1.96,1.78,0.73,0.9,2.19,0.24,1.76,1.62,1.83,1.58,0.57,0.5,0.76,0.86,4.17,0.68,1.31,1.02,2.29,1.89,0.19,1.57,1.96,0.91,1.7,1.91,0.77,0.96
April,,,2.12,3.42,1.55,1.09,2.17,2.01,1.44,3.45,0.09,1.07,1.48,1.02,1.1,1.49,2.51,1.29,1.71,1.59,1.52,2.11,2.79,0.74,0.98,2.01,0.16,0.93,1.85,0.15,0.58,2.84,0.89
May,,,1.01,2.27,5.33,1.92,0.94,0.88,1.17,3.29,3.24,1.33,1.47,1.39,2.5,2.19,1.32,2.07,1.5,1.43,1.11,1.79,1.72,4.18,1.45,1.63,2.62,2.27,0.66,0.82,3.11,0.45,0.67
June,,,1.64,3.59,1.66,1.41,1.68,2.08,3.58,1.47,2.26,1.54,0.58,0.46,0.96,1.47,2.33,2.31,1.81,2.93,2.85,0.47,1.15,1.05,1.61,1.46,1.91,2.19,2.18,1.94,2.88,1.63,0.66
July,,,4.69,3.15,2.75,1.04,1.36,0.3,3.03,1.73,2.38,4.14,5.23,2.93,2.01,0.89,2.09,0.98,2.62,2.57,0.81,2.32,1.84,2.09,1.51,1.96,1.59,0.94,3.61,3.08,,2.06,5.63
August,,,3.37,2.91,1.69,0.42,1.3,2.85,1.79,1.65,1.85,1.51,0.78,2.83,2.8,2.15,3.22,1.87,3.24,0.26,3.65,1.64,4.02,5.12,1.78,2.8,5.98,0.53,5.75,4.27,,0.25,2.2
September,,0.51,2.82,3.23,1.77,1.97,1.36,4.78,1.4,1.08,1.51,1.06,1.06,0.64,2.11,3.47,4.37,2.13,3.93,1.66,1.07,0.56,2.53,1.78,3.39,1.28,1.85,1.06,1.55,2.88,,0.07,2.88
October,,2.38,1.64,1.02,2.63,3.09,1.42,4.48,1.57,2.72,3.07,1.92,2.97,2.91,2.41,1.43,2.64,3.32,0.74,0.85,1.04,2.3,1.16,1.65,2.56,1.57,3.06,1.45,1.25,1.84,,1.51,4.79
November,,3.44,3.02,3.77,1.47,2.54,1.54,3.86,2.46,1.8,2.42,2.91,3.27,3.02,0.81,2.02,3.43,0.32,5.48,1.31,0.92,2.93,3.19,5.14,1.54,1.86,4.37,1.89,0.61,1.54,,2.66,3.79
December,,5.08,1.98,0.86,1,0.48,4.35,2.31,1.26,2.17,3.82,1.64,1.68,0.53,1.78,1.31,1.58,1.54,2.17,1.88,1.67,1.92,1.56,1.83,1.54,1.12,1.98,2.58,2.13,2.37,,2.62,1.79
Total,,,28.03,28.26,23.37,21.43,21.22,28.23,23.82,27.37,24.38,23.94,24.17,22.52,22.41,20.64,28.13,21.34,28.01,22.46,21.16,18.61,25.48,29.87,20.11,18.1,28.39,18.32,25.85,23.78,,17.15,30.35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_23_pt1/026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_19_pt1/164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July-December 1958 readings and 1958 total have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They were estimates based on station 3326 (York Acomb Landing).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The location is Terry's Chocolate Factory.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The station continued until 1966 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
