EPSOM-DOWNS-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ217588,Long,-0.25458,Lat,51.3158,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,133/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.52,5.28,2.27,2.14,2.81,5.79,2.02,1.73,2.15,2.04,3.64,1.17,0.89,3.3,2.32,1.13,1.26,2.85,4.11,1.83,2.1,2.41,2.59
February,,,,,,,,0.59,1.56,1.95,2.16,0.6,1.74,0.81,1.53,2.42,1.65,1.65,1.44,5,8.58,0.75,1.41,2.46,1.9,0.28,3.3,1.77,0.07,2.07
March,,,,,,,3.18,0.36,1.26,3.35,3.32,1.6,0.27,0.08,1.17,1.23,5.06,0.92,1.01,1.23,3.46,2.59,0.46,2.32,1.33,0.78,0.98,1.36,2.8,1.92
April,,,,,,,2.58,0.14,2.9,1.59,2.23,1.7,1,1.58,1.25,2.33,1.94,1.74,1.83,3.36,3.11,1.25,2.66,0.3,0.25,1.39,0.23,1.14,2.29,0.74
May,,,,,,,2.45,2.1,2.36,1.6,1.66,3.67,3.04,0.59,1.8,3.56,1.44,2.55,1.95,1.51,2.23,1.68,1.73,2.37,3.88,0.21,1.5,2.76,0.68,1.61
June,,,,,,,1.65,0.69,1.08,0.44,2.53,0.21,1.71,1.97,1.55,2.47,2.44,2.6,0.9,1.6,1.03,1.5,1.75,4.03,2.38,2.32,0.81,4.31,1.4,1.48
July,,,,,,,1.13,1.48,2.32,2.29,3.28,2.01,1.37,2.01,3.54,1.31,1.19,1.23,0.95,3.47,2.11,0.82,3.89,2.91,1.46,5.81,2.85,1.53,1.42,2.82
August,,,,,,,1.07,1.82,1.87,0.06,3.85,2.77,1.34,2.51,1.43,4.64,0.35,3.98,1.73,2.46,3.82,3.05,1.5,2.66,1.11,3.04,2.94,2.28,1.45,2.98
September,,,,,,,1.82,1.97,1.49,1.45,0.41,1.74,2.01,2.47,2.35,2.96,1.34,1.52,0.33,2.75,2.89,3.09,3.04,2.1,1.86,2.39,2.92,5.16,0.14,2.64
October,,,,,,,3.1,2.82,6.31,2.91,1.22,3.72,3.41,4.04,3.3,1.1,0.21,1.86,6.57,0.51,1.04,3.16,3.87,2.25,3.32,1.25,1.6,2.95,2.71,6.04
November,,,,,,,1.79,4.03,4.33,8,3.02,2.24,1.37,4.19,0.31,4.23,1.19,1.69,3.14,6.44,7.06,3.34,1.42,5.79,1.08,0.72,2.74,1.79,4.01,4.43
December,,,,,,,4.76,3.47,1.43,1.28,1.88,2.97,1.83,2.64,3.88,3.22,3.08,4.05,1.29,1.87,2.87,2.34,0.68,2.5,2.51,3.99,2.38,3.01,4.71,3.02
Total,,,,,,,,21.99,32.19,27.19,27.7,26.04,24.88,24.91,23.84,31.62,21.93,27.43,22.31,31.09,41.5,25.89,23.54,30.95,23.93,26.29,24.08,30.16,24.09,32.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Jan Feb Adjusted for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1937-1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
