GUBHILL,,,,,,,,,,,,,,,,,,,,
Grid ref,NX972915,Long,-3.61572,Lat,55.20736,Elevation,520,ft,,,,,,,,,,,,
Station no,5036/2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,6.66,,1.46,,,,,,,,,
February,,,,,,,,,6.57,,5.1,,,,,,,,,
March,,,,,,,,,4.44,,3.39,,,,,,,,,
April,,,,,,,,,1.92,,1.76,,,,,,,,,
May,,,,,,,,,1,,3.89,,,,,,,,,
June,,,,,,,,,4.36,,,,,,,,,,,
July,,,,,,,,,7.02,,,,,,,,,,,
August,,,,,,,,,1.35,,,,,,,,,,,
September,,,,,,,,,1.94,,,,,,,,,,,
October,,,,,,,,,3.67,,,,,,,,,,,
November,,,,,,,,,7.22,,,,,,,,,,,
December,,,,,,,,4.73,2.5,,,,,,,,,,,
Total,,,,,,,,,48.65,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge moved 192 yards E from Gubhill School Nov 1938,,,,,,,,,,,,,,,,,,,,
13178,PARKGATE: GUBHILL ,NX9728591797,01/01/1950,31/12/1963,,,,,,,,,,,,,,,,
