SALFORD (WEASTE SEW WKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ794980,Long,-2.3118576,Lat,53.478317,Elevation,70,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2831/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.52,4.4,3.05,4.13,4.94,2.52,1.3,2.9,,,,,,,,1.69,3.06,3.73,1.44,3.54,2.17,4.67,2.49,3.19,3.07,4.45
February,,,,,3.54,1.81,4.78,1.33,4.01,1.93,2.91,1.63,,,,,,,,3.92,1.8,1,1.46,2.96,1.78,0.72,2.15,5.48,0.39,2.1
March,,,,,1.18,1.66,1.49,1.08,1.64,2.81,2.7,3.32,,,,,,,,1.46,4.26,2.28,1.85,2.43,1.85,1.05,3.09,2.03,1.6,0.86
April,,,,,2.66,1.29,2.48,0.37,2.46,1.74,1.36,1.44,,,,,,,,2.8,1.95,4.06,2.45,0.69,2.29,3.9,0.45,1.14,3.02,1.94
May,,,,,0.97,0.9,2.63,3.52,1.52,1.07,1.45,3.08,,,,,,,,1.36,2.44,1.88,1.83,2.61,2.94,1.07,1.38,3.74,1.1,2.03
June,,,,,4.53,2.96,1.46,3.53,2.7,0.96,0.35,0.55,,,,,,,,2.84,0.74,2.51,2.01,3.42,3.31,2.16,1.97,4.73,2.94,1.82
July,,,,,1.27,3.12,2.09,3.88,6.22,4.32,2.13,4.08,,,,,,,,3.62,3,2.09,4.13,4.84,0.87,6.14,4.59,4.97,3.15,5.4
August,,,,,1.33,2.11,3.17,2.73,1.56,1.56,5.32,3.54,,,,,,,,5.84,3.8,2.33,4.27,5.5,0.95,9.23,4.2,5.83,0.32,5.42
September,,,,,5.74,5.41,1.08,2.11,1,3.58,0.62,2.06,,,,,,,,5.5,2.72,3.27,3.05,4.19,2.19,2.67,5.86,4.72,0.27,3.36
October,,,,,5.37,3.2,1.86,6.56,1.59,3.72,4.46,5.63,,,,,,,,2.27,1.03,3.7,1.95,6.29,2.17,2.74,4.06,2.78,3.5,4.32
November,,,,,4.73,4.07,2.02,3.72,5.27,5.96,2.31,1.01,,,,,,,,5.15,6.98,2.32,3.49,5.32,1.8,1.53,1.66,1.58,4.08,5.16
December,,,,,4.27,3,2.4,3.92,3.28,3.38,1.66,3.64,,,,,,,,2.82,5.68,3.6,1.26,5.26,4.25,3.04,3.68,3.61,5,3.66
Total,,,,,37.11,33.93,28.51,36.88,36.19,33.55,26.57,32.88,,,,,,,,39.27,37.46,32.77,29.19,47.05,26.57,38.92,35.58,43.8,28.44,40.52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 not transcribed for no obvious reason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
