ELY-LITTLEPORT (THE GRANGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL560858,Long,0.29401849,Lat,52.447892,Elevation,68,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.98,3.01,1.46,,0.1,0.7,1.59,1.38,1.74,1.31,2.18,1.68,0.75,0.69,1.95,,,,,,,,,
February,,,,,,,2.9,2.02,1.98,,1.54,2.08,1.44,2.58,0.63,1.8,0.27,0.64,1.39,1.79,0.7,,,,,,,,,
March,,,,,,,2.37,1.55,0.36,,1.03,1.08,1.45,1.31,0.84,0.69,1.78,1.44,2.37,1.14,2.19,,,,,,,,,
April,,,,,,,2.77,2.53,1.33,,1.41,1.65,2.63,1.19,1.32,1.12,0.91,0.76,1.56,1.9,0.57,,,,,,,,,
May,,,,,,,0.38,1.37,4.63,,0.51,1.32,1,0.83,0.56,2.57,2.29,1.68,0.75,2.93,,,,,,,,,,
June,,,,,,,3.05,1.77,1.25,,3.41,2.18,2.64,3.37,1.23,1.63,0.83,0.5,1.64,1.28,,,,,,,,,,
July,,,,,,,2.41,2.89,1.64,,4.7,2.02,2.49,3.62,3.95,1.32,4.38,0.93,3.74,3.36,,,,,,,,,,
August,,,,,,,1.9,3.58,4.36,,1.82,4.4,2.52,0.92,1.53,1.35,2.43,1.07,2.24,2.43,,,,,,,,,,
September,,,,,,1.8,3.17,2.93,1.29,,3.62,2.18,3.07,4.6,1.81,4.14,1.44,1.66,0.73,3.01,,,,,,,,,,
October,,,,,,3,1.07,1.57,1.76,,4.87,2.12,4.38,1.47,1.19,4.25,3.18,1.74,0.6,2.92,,,,,,,,,,
November,,,,,,4.09,2.25,2.91,4.82,,1.8,1.67,2.17,3.39,1.56,3.04,2.07,1.85,2.93,0.75,,,,,,,,,,
December,,,,,,0.83,3.41,1.84,1.19,,2.48,2.4,3.24,1.4,1.78,0.79,2.81,0.7,1.18,1.36,,,,,,,,,,
Total,,,,,,,27.66,27.97,26.07,,27.29,23.8,28.62,26.06,18.14,24.01,24.57,14.65,19.88,23.56,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879 values taken at Vicarage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900 values from note at foot of TYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
