ELY-LITTLEPORT (VICARAGE),,,,,,,,,,
Grid ref,TL565869,Long,0.30188459,Lat,52.45763,Elevation,27,ft,,
Station no,RR7292,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,1.16
February,,,,,,,,,,2.49
March,,,,,,,,,,0.86
April,,,,,,,,,,1.95
May,,,,,,,,,,2.9
June,,,,,,,,,,4.23
July,,,,,,,,,,4.35
August,,,,,,,,,,3.7
September,,,,,,,,,,2.63
October,,,,,,,,,,0.69
November,,,,,,,,,,1.07
December,,,,,,,,,,0.58
Total,,,,,,,,,,26.61
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1879 values taken at Vicarage,,,,,,,,,,
