OVERSCAIG,,,,,,,,,,
Grid ref,NC421226,Long,-4.68565,Lat,58.163955,Elevation,350,ft,,
Station no,5799/2/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,6.01,,7.07,8.58,7.04,6.24,4.03
February,,,4.62,3.14,,4.38,3.48,5.75,2.98,7.46
March,,,3.95,3.09,,2.56,5.09,3.63,1.91,1.21
April,,,3.67,3.58,,3.29,2.13,3.21,4.81,4.75
May,,,3.36,3.44,,3.74,1.84,5.4,2.72,1.51
June,,,2.14,2.47,,2.35,3.18,2.63,5.28,3.05
July,,,4.21,4.77,,5.14,4.51,2.3,6.43,2.82
August,,,4.2,4.21,,5.41,8.62,4.96,3.37,3.37
September,,,5.44,7.08,,3.94,5.66,3.44,3.03,2.16
October,,,2.61,11.58,,7.31,8.16,7.91,9.24,2.79
November,,,11.35,6.22,,6.24,4.39,2.22,7.09,3.4
December,,,5.34,17.57,,8.21,11.77,5.71,5.4,7.94
Total,,,,73.16,,59.64,67.41,54.2,58.5,44.49
,,,,,,,,,,
Undocumented Gauge move 1958,,,,,,,,,,
,,,,,,,,,,
BR 1953 NP Ja Est Deleted,,,,,,,,,,
BR 1954 P,,,,,,,,,,
BR 1955 NP Low  Deleted,,,,,,,,,,
BR 1956 P,,,,,,,,,,
BR 1957 P,,,,,,,,,,
BR 1958 P,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 P,,,,,,,,,,
