HICKLING (OLD RECTORY),,,,,,,,,,,,
Grid ref,TG408237,Long,1.567206,Lat,52.757202,,,,,,,
Station no,1433/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.78,2.25,1.28,1.75,1.40,,,2.04,,,,
February,2.88,1.06,1.62,2.05,2.34,,2.37,2.46,,,,
March,3.24,2.40,0.69,2.43,1.69,,1.84,1.27,,,,
April,3.38,1.38,1.85,0.40,0.38,,0.68,0.82,,,,
May,1.97,1.15,1.19,1.63,2.13,,1.71,4.68,,,,
June,1.50,1.16,2.04,-999.00,2.17,,2.01,2.22,,,,
July,1.97,1.67,1.87,2.86,0.27,,2.68,3.50,,,,
August,3.06,2.26,2.56,5.46,1.10,,2.89,2.90,,,,
September,2.02,4.40,1.48,1.82,1.32,,4.00,2.09,,,,
October,1.00,1.87,2.38,2.48,3.68,,1.43,2.06,,,,
November,3.92,3.90,1.50,4.19,0.96,,2.08,0.96,,,,
December,1.81,3.26,1.20,2.29,1.56,,2.23,3.22,,,,
Total,29.53,26.76,19.66,29.26,19.00,,,28.22,,,,
Calc annual,29.53,26.76,19.66,27.36,19.00,0.00,23.92,28.22,0.00,0.00,,
Difference,0.00,0.00,-0.00,1.90,0.00,NaN,NaN,0.00,NaN,NaN,,
