WALLINGFORD-ST-LEONARDS-RECTORY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU606889,Long,-1.1265415,Lat,51.595696,Elevation,142,ft.,,,,,,,,,,,,,
Station no,817,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,2.81,2.27,1.55,2.95,1.8,3.02,2.94,3.09,1.13,3.3,1.3,1.82,1.85,0.62,0.5,3.65,4.29,,,
February,,0.32,2.23,3.62,0.43,3.33,2.04,3.94,1.67,0.64,0.5,1.42,0.13,3.62,0.04,2.04,1.76,3.73,,,
March,,1.09,1.75,2.74,1,0.45,0.74,2.51,2.04,0.09,0.8,0.07,1.58,2.48,1.59,0.31,1.83,3.45,,,
April,,1.02,2.46,2.02,2.43,2.98,2.63,1.98,1.38,0.86,1.73,3.04,2.09,1.01,1.92,3.34,1.33,2.63,,,
May,,1.01,1.09,2.23,4.03,2.84,2.44,0.89,1.05,1.16,1.78,3.05,4.71,2.05,0.59,1.14,0.47,3.56,,,
June,,0.31,1.43,0.44,2.69,0.01,2.3,2.25,2.27,0.82,0.43,2.37,0.79,1.56,1.43,3.93,3.18,2.17,,,
July,,0.13,3.97,0.98,3.28,3.77,1.96,2.73,2.56,1.13,2.53,3.84,2.31,1.34,1.01,0.64,2.86,0.93,,,
August,,1.47,5.2,3,1.92,3.72,1.2,2.74,1.46,0.65,2.44,4.95,2.19,0.31,1.43,1.79,1.07,0.61,,,
September,,2.1,1.98,1.92,3.98,2.46,1.02,5.41,0.95,0.22,2.45,1.98,3.22,2.4,1.21,4.24,2.92,2.48,,,
October,,1.1,0.9,4.34,3.45,2.48,2.08,1.9,3.64,3.2,1.14,0.57,4.57,1.66,1.49,3.42,1.39,2.77,,,
November,,1.62,1.13,1.76,2.64,2.22,4.31,3.22,2.49,7.09,4.28,2.7,1.36,0.85,1.33,3.75,2.9,1.27,,,
December,,1.33,2.56,2.73,4.27,2.11,0.59,3.11,2.05,5.61,2.77,0.88,0.66,0.17,4.99,2.61,2.32,2.2,,,
Total,,14.31,26.97,27.33,33.07,28.17,24.33,33.62,24.65,22.6,24.15,26.17,25.43,19.3,17.65,27.71,25.68,30.09,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is the rectory. Stated altitude appears 10 ft. too low,,,,,,,,,,,,,,,,,,,,,
