BRENTWOOD-DUDBROOK-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ559984,Long,0.25269226,Lat,51.66276,Elevation,304,ft,,,,,,,,,,,,
Station no,RR6667,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.25,2.57,3.88,1.58,1.29,0.77,2.62,2.34,0.71,,,,,,,
February,,,,,1.3,2.63,0.61,0.63,1.37,2.36,1.29,0,2.17,,,,,,,
March,,,,,1.7,1.67,1.26,1.89,3.6,1.82,2.29,2,1.43,,,,,,,
April,,,,,1.35,1.32,1.07,1.89,2.49,2.24,1.29,0.88,2.09,,,,,,,
May,,,,,0.58,2.99,3.73,2.22,0.99,3.72,1.61,2.41,1.32,,,,,,,
June,,,,,1.12,1.25,0.65,0.63,2.96,2.42,3.09,0.98,3.4,,,,,,,
July,,,,,2,0.48,3.69,1.09,5.35,2.22,5.42,2.37,1.65,,,,,,,
August,,,,,0.86,1.39,1.1,2.23,5.21,2.88,4.94,3.62,5.56,,,,,,,
September,,,,,2.78,6.17,1.37,2.99,1.32,3.45,0.46,0.65,2.37,,,,,,,
October,,,,,1.17,5.4,3.13,2.04,1.8,4.51,1.86,5.78,5.31,3.83,,,,,,
November,,,,,0.71,3.13,4,4.87,6.12,1.27,2.74,2.88,2.79,2.55,,,,,,
December,,,,,3.77,1.36,4.92,1.54,1.54,1.97,0.78,3.99,2.34,2.73,,,,,,
Total,,,,,19.59,30.36,29.41,23.6,34.04,29.63,28.39,27.9,31.14,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note that 1892 total thought to be 5inches too big,,,,,,,,,,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,,,,,,,,,,
