"BOURNEMOUTH CLARENDON COURT",,,,,,,,,,,,
Grid ref,SZ076912,Long,-1.893704,Lat,50.720377,,,,,,,
Station no,RR2421,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.48,1.69,1.03,2.46,5.07,1.00,6.92,0.83,0.74,0.86,,
February,5.30,1.91,1.62,1.63,3.50,1.36,3.24,1.12,1.09,0.39,,
March,1.12,2.37,2.50,3.62,1.43,4.89,1.20,0.44,3.13,3.93,,
April,1.99,2.60,1.48,2.94,1.12,1.66,0.95,3.89,2.00,1.26,,
May,1.61,0.91,2.32,2.71,2.71,0.56,2.75,1.97,1.29,1.74,,
June,2.79,1.32,2.83,2.46,0.82,3.19,1.28,1.79,0.63,4.36,,
July,0.45,1.97,1.67,3.07,2.16,0.33,1.24,0.88,1.45,1.83,,
August,2.75,2.24,4.82,3.36,3.32,2.54,0.52,1.52,2.74,2.99,,
September,1.03,3.59,1.83,2.13,2.30,1.86,0.61,0.64,2.26,3.14,,
October,2.45,2.72,2.02,8.54,2.61,2.61,7.01,10.81,1.93,7.37,,
November,4.14,0.62,3.53,1.60,1.27,4.26,4.37,2.67,0.82,0.81,,
December,5.10,4.29,1.70,2.65,3.89,0.67,1.97,3.58,3.45,4.15,,
Total,32.21,26.23,27.35,37.17,30.20,24.93,32.06,30.14,21.53,32.83,,
Calc annual,32.21,26.23,27.35,37.17,30.20,24.93,32.06,30.14,21.53,32.83,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
