PATCHAM-VALE-AVENUE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ305090,Long,-0.14692352,Lat,50.865786,Elevation,196,ft,,,,,,,,,,,,
Station no,487/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.81,1.05,4.54,6.25,4.65,6.79,3.28,3.81,3.32,7.04,2.86,2.33,3.09,2.85,,,
February,,,,0.26,4.84,2.53,5.83,0.93,1.64,3.39,4.07,0.77,1.49,1.07,2.55,3.48,2.68,,,
March,,,,3.34,0.82,1.89,3.94,0.76,1.55,3.42,3.29,4.07,0.44,,1.91,1.7,7.86,,,
April,,,,2.58,4.4,2.46,3.13,0.41,3.19,1.42,1.6,1.04,1.38,,1.23,1.88,1.99,,,
May,,,,0.28,1.76,0.85,2.64,3.16,1.74,1.8,2.09,3.12,2.26,,2.35,3.01,1.33,,,
June,,,,1.4,2.6,4.18,0.99,0.64,1.42,0.3,2.14,0.14,1.78,1.58,2.4,3.05,3.34,,,
July,,,,1.6,0.44,4.34,1.65,1.98,4.48,2.42,3.17,2.2,2.6,2.72,4.77,1.77,2.5,,,
August,,,,2.51,4.6,1.43,1.47,1.23,2.84,0.14,4.75,4.49,1.66,1.62,2.02,8.12,0.44,,,
September,,,,1.98,8.44,1.87,2.77,2.81,0.67,2.39,0.5,2.96,1.94,2.7,2.36,3.88,2.52,,,
October,,,,2.68,4.71,1.77,3.2,4.5,5.92,4.16,1.31,3.92,3.46,4.69,3.79,0.58,0.59,,,
November,,,,5.28,8.9,5.73,1.62,3.75,7.91,9.76,4.27,1.69,2.44,6.06,0.25,5.16,1.99,,,
December,,,,9.98,5,2.9,4.53,4.11,2.95,3.36,2.65,3.21,2.51,2.05,4.68,3.72,,,,
Total,,,,34.7,47.56,34.49,38.02,28.93,41.1,35.84,33.65,30.93,29,,30.64,39.44,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1947 Dec estimated,,,,,,,,,,,,,,,,,,,,
