BUXTON-BERRY-CLOUGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK029727,Long,-1.957995,Lat,53.2513,Elevation,1550,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/2/1/2/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,7.86,,,,6.6,7.7,,6.05,4.9,12,4.35,3.2,8.9,6.5,3.93,5.2,4.05,8.95,3.75,6.1,5.2,9.12
February,,,,,,,,,3.85,,,,3.75,3.05,,8.85,,,2.65,7.85,6.15,4.05,3.02,4.55,,1.4,4.1,9.4,1.24,4.06
March,,,,,,,,,3.25,3.55,4.25,2.95,1.55,1.35,2.1,2.25,,,3.6,2.8,8.5,3.95,3.4,3.65,4.8,2.65,,3.3,3.09,2.5
April,,,,,,,,,3.05,3.2,3.4,2.55,2.5,4.15,2.8,2.55,4.65,,4.7,5.7,3.6,4.65,4.4,1.05,3.5,2.7,0.62,2.15,4,3.17
May,,,,,,,,,1.7,1.45,3.65,5.7,3.85,3.05,3.75,2.1,3.3,,3.05,1.8,2.8,2.59,2.62,3.95,4.8,1.1,3.1,5.3,0.82,2.36
June,,,,,,,,,3.15,1.6,2.8,0.75,3.95,4.55,4.3,5.95,3.05,7.9,2.2,3.75,2.45,4.15,4.43,4.45,4.25,4.4,2.8,7.9,1.89,3.04
July,,,,,,,,,9.85,4.8,3.55,6.3,2.25,5.15,1.9,5.95,3.4,5,3.25,4.05,3.3,4.5,6.34,7.3,1.75,8,7.35,6.5,4.42,8.65
August,,,,,,,,,4.1,2.25,7.3,2.65,5.6,4,3.7,6.25,0.83,6.5,3.25,5.72,7.5,2.64,5.81,7.1,1.4,12.35,,4.87,0.9,5.1
September,,,,,,,,,1.85,4,0.9,3.85,5.95,6.05,2.55,7.35,2.5,3.7,1.8,7.8,3.6,5.34,3.95,6.7,4.5,5.05,11.2,6.05,0.17,5.04
October,,,,,,,,,3.8,,,7.7,3.3,6.85,7.6,1.3,1.3,3.75,5.15,3.3,1.65,5.67,2.95,8.35,4.2,3.65,4.75,5.5,4.82,7.4
November,,,,,,,,,8.55,,4.9,1.6,4.7,8.1,1.1,8.9,5.65,3.6,7.1,7.85,11.8,3.8,3.8,8.55,3.55,2.4,2.5,2.14,6.2,7.36
December,,,,,,,,7.54,3,4.8,3.15,4.64,2.8,4.1,4.9,5.3,6.4,5.5,7,3.7,6.5,5.28,2.75,8.9,5.95,7.1,6.6,5.3,8.95,6.15
Total,,,,,,,,,54.01,,,,46.8,58.1,,62.8,,,48.1,57.52,66.75,53.12,47.4,69.75,,59.75,,64.51,41.7,63.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 11853 BERRY CLOUGH Start 1938 end 1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is from 1950s record and is near Berry Clough. Stated altitude is about 40 ft. too high or gauge is 200m W, which is also closer to Berry Clough",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
