TOLL BAR BLACKSTONE EDGE - on roof (=20ft?),,,,,,,,,,,,,,,,,,,,
Grid ref,SD989185,Long,-2.0176,Lat,53.6631,Elevation,1075,ft,,,,,,,,,,,,
Station no,RR357,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,0.83,1.14,0.38,7.53,2.15,3.07,3.53,0.8,2.8,5.7,,,,,2.09,4.85,1.7,,
February,,2.89,0.54,4.09,4.05,4,2.8,4,0,1.7,2.62,,,,,0.8,1.74,2.63,,
March,,4.93,2.77,1.33,3.95,4.04,4.8,0.71,2.3,3.9,0.27,,,,,2.3,2.08,1,,
April,,2.21,2.6,3.53,0.5,1.5,2.53,0.38,2.15,0.95,0.25,,,,,1.99,4.55,2.3,,
May,,1.3,2.12,0.99,0.55,2.5,0,0.6,3.07,0,3.3,,,,,1.86,1.15,3.72,,
June,,2.08,4.66,5.72,2.75,1.7,4.15,2.93,3.3,2.8,2.36,,,,,3.36,2.72,2.47,,
July,,3.41,1.6,1.85,5.67,1.22,5.6,2.83,3.13,4.25,4.3,,,,,3.7,2.8,0.75,,
August,,2.59,4.5,3.8,2.08,1.4,1.57,1,6.03,3.28,4.15,,,,,4.6,5.2,1.8,,
September,,3.63,1.04,3.05,2.8,5.4,3.07,3.07,1.15,5.25,4.3,,,,,3.3,1,3.9,,
October,,4.22,3.72,4.12,2.12,5,3.98,6,5.8,2.6,1.7,,,,,4.2,4.5,4.3,,
November,,6.58,4.37,6.25,3.45,3.85,5.25,4.05,2.9,5.02,5.2,,,,,2.12,3.5,3.8,,
December,,4.24,5.42,8.07,0.44,1.35,2.5,5.07,2.8,3.15,0.25,,,,,6.7,1,6.2,,
Total,,38.91,34.48,43.18,35.89,34.11,39.32,34.17,33.43,35.7,34.4,,,,23.45,37.02,35.09,34.57,,
,,,,,,,,,,,,,,,,,,,,
TYRain_1820-1829_C_pt2-page-046.csv,,,,,,,,,,,,,,,,,,,,
TYRain_1840-1849_E_pt1-page-081.csv,,,,,,,,,,,,,,,,,,,,
