SOYLAND-MOOR-WAYSTONE-DRAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD998148,Long,-2.0044985,Lat,53.629729,Elevation,1200,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,3216/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,2.57,5.81,5.21,8.24,6.38,3.08,2.24,5.63,7.54,8.41,4.76,6.77,4.58,11.77,2.96,3.8,5.4,-999,2.22,4.99,4.11,6.28,5.79,5.32,4.41,6.05
February,,,,,8.19,3.24,6.71,2.86,6.69,3.34,7.09,1.85,4.22,3.05,7.23,7.4,3.8,4.24,4.13,7.03,4.2,-999,2.87,3.6,3.01,1.51,3.93,8.23,0.72,
March,,,,,2.59,3.57,3.35,1.96,3.67,4.15,5.43,3.49,1.98,0.73,1.88,2.02,7,2.48,2.18,3.08,6.92,3.65,2.72,3.57,2.58,2.3,5.1,3.26,2.68,2.12
April,,,,,5.08,2.03,3.54,0.91,2.84,2.77,3.58,3.38,3.18,4.14,3.49,2.12,5.98,2.79,5.16,5.01,3.19,4.66,4.91,1.12,2.87,3.79,0.61,1.72,5.12,3.48
May,,,,,1.01,1.45,2.67,5.02,1.61,1.46,3.23,5.58,3.48,4.53,4.86,2.16,3.7,1.74,5.93,3,3.76,2.19,4.05,4.04,5,2.49,1.65,5.86,2.98,2.53
June,,,,,5.86,6.2,3.64,6.12,4.23,1.03,1.58,1.57,4.76,4.64,6.46,4.17,4.08,5.68,0.93,2.93,1.21,4.43,4.33,4.73,4.41,4.32,2.75,7.14,3.1,2.14
July,,,,,2.93,5.15,3.14,5.59,7.74,5.39,2.44,5.24,3.54,4.82,2.45,5.92,3.54,2.92,3.34,4.54,5.03,3.61,7.85,6.94,1.47,9.37,7.08,6.21,4.28,9.45
August,,,,,2.23,2.92,2.65,4.98,2.56,3.52,8.61,6.38,7.52,5.3,3.66,6.38,0.45,6.6,3.18,7.37,7.81,5.72,6.05,8.28,1.28,14.47,7.84,5.95,0.68,7.11
September,,,,,8.71,7.23,2.57,2.86,1.83,6.04,0.9,3.79,5.54,6.8,3.72,9.02,4.24,3.88,1.5,8.69,4.09,5.04,4.63,8.42,3.53,5.78,7.6,5.98,0.8,4.18
October,,,,,12.59,7.34,2.81,13.62,3.48,6.02,7.03,8.24,3.95,5.73,8.38,1.92,1.78,3.5,6.3,3,1.74,7.19,2.98,11.06,3.33,3.75,8.46,5.74,5.75,5.95
November,,,,,7.86,7.57,3,7.34,9.65,9.4,4.42,1.82,4.37,10.23,1.12,10.09,9.86,2.7,7.87,7.11,11.1,3.19,5.86,8.59,3.03,2.47,3.6,2.17,5.92,9.09
December,,,,,3.75,5.9,3.11,6.01,4.43,5.34,3.15,4.77,3.7,5.67,3.59,4.95,5.61,5.05,8.98,3.96,9.58,5.01,2.67,8.74,7.87,5.85,6.37,5.65,10.35,4.87
Total,,,,,63.37,58.41,42.4,65.51,55.11,51.54,49.7,51.74,53.78,64.05,51.6,62.92,54.62,53.35,52.46,59.52,64.03,52.1,51.14,74.08,42.49,62.38,60.78,63.23,46.79,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Way Stone Edge. Altitudes match. Cannot find Waystone Drain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
