"SOYLAND MOOR (WAYSTONE DRAIN)",,,,,,,,,,,,
Grid ref,SD998148,Long,-2.004499,Lat,53.629729,,,,,,,
Station no,3216/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.40,5.67,2.22,4.99,4.11,6.28,5.79,5.32,4.41,6.05,,
February,4.20,1.74,2.87,3.60,3.01,1.51,3.93,8.23,0.72,3.50,,
March,6.92,3.65,2.72,3.57,2.58,2.30,5.10,3.26,2.68,2.12,,
April,3.19,4.66,4.91,1.12,2.87,3.79,0.61,1.72,5.12,3.48,,
May,3.76,2.19,4.05,4.04,5.00,2.49,1.65,5.86,2.98,2.53,,
June,1.21,4.43,4.33,4.73,4.41,4.32,2.75,7.14,3.10,2.14,,
July,5.03,3.61,7.85,6.94,1.47,9.37,7.08,6.21,4.28,9.45,,
August,7.81,5.72,6.05,8.28,1.28,14.47,7.84,5.95,0.68,7.11,,
September,4.09,5.04,4.63,8.42,3.53,5.78,7.60,5.98,0.80,4.18,,
October,1.74,7.19,2.98,11.06,3.33,3.75,8.46,5.74,5.75,5.95,,
November,11.10,3.19,5.86,8.59,3.03,2.47,3.60,2.17,5.92,9.09,,
December,9.58,5.01,2.67,8.74,7.87,5.85,6.37,5.65,10.35,4.87,,
Total,64.03,52.10,51.14,74.08,42.49,62.38,60.78,63.23,46.79,60.47,,
Calc annual,64.03,52.10,51.14,74.08,42.49,62.38,60.78,63.23,46.79,60.47,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,,
