"CRAWLEY COTTAGE, EDINBURGH",,,,,,,,,,,,,,,,,,,,
Grid ref,NT235631,Long,-3.223593,Lat,55.855001,Elevation,587,ft,,,,,,,,,,,,
Station no,RR1768,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,0.89,0.96,0.78,6.04,2.06,6.24,2.81,2.39,3.88,6.21,2.11,1.32,3.51,2.53,3.17,2.75,,,
February,,3.91,1.75,4.3,2.31,3.53,1.99,3.22,1.92,3.45,2.58,1.18,1.89,2.05,3.04,1.01,3.25,,,
March,,3.29,2.23,3.4,3.69,4.08,7.32,3.1,3.12,3.73,0.64,1.95,4.31,0.99,3.82,1.94,2.75,,,
April,,2.04,1.53,2.76,1.31,1.13,2.11,3.07,3.01,0.56,0.35,1.86,0,2.66,0.81,1.2,2.93,,,
May,,0.82,2,1.3,1.15,3.14,0.63,1.54,3.94,1.47,4.35,1.73,2.12,3.61,0.71,3.37,2.42,,,
June,,2.08,4.43,6.18,2.16,1.66,4.15,2.43,5.54,4.41,3.11,2.54,1.76,2.17,3.89,4.41,4.54,,,
July,,2.98,1.61,3.22,5.13,2.29,7.85,6.23,3,4.3,5.45,4.41,1.85,4.34,2.51,2.09,5.59,,,
August,,3.93,6.56,1.91,1.85,2.64,2.74,5.12,4.33,3.06,2.51,5.5,1.86,2.44,2.25,5.43,5.3,,,
September,4.93,2.45,1.31,2.14,5.29,7.48,3.88,2.74,4.85,3.87,4.23,3.25,2.74,1.35,2.99,4.85,1.99,,,
October,0.54,3.76,7.82,2.32,3.17,4.85,2.72,5.51,3.46,2.9,2.25,6.66,1.56,5.23,1.79,4.64,3.84,,,
November,3.65,3.21,1.83,3.11,2.92,3.59,4.73,2.46,3.2,3.14,3.89,2.67,2.05,4.04,5.59,2.9,2.08,,,
December,3.33,2,3.68,8.28,2.7,2.66,4.72,3.39,1.7,2.1,1.14,4.65,4.22,0.95,0.2,4.53,1.02,,,
Total,,31.36,35.71,39.7,37.72,39.11,49.08,41.62,40.46,36.87,36.71,38.51,25.68,33.34,30.13,39.54,38.46,,,
