WEYMOUTH-LANSDOWNE-VILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY673782,Long,-2.4628,Lat,50.6034,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,3.11,2.08,1.94,1.97,2.53,0.69,4.49,4.57,3.41,5.35,2.97,3.97,,,,,,,,,
February,,,,,,,,,,,1.41,1.86,0.03,3.95,0.05,3.18,3.05,5.68,0.78,2.01,3.93,4,,,,,,,,,
March,,,,,,,,,,,1.28,1.37,1.76,3.32,2.54,0.89,3.71,3.94,0.35,1.02,3.16,2.68,,,,,,,,,
April,,,,,,,,,,,2.02,1.97,2.07,1.56,1.71,3.24,1.16,2.33,0.07,2.21,1.43,1.95,,,,,,,,,
May,,,,,,,,,,,2.32,3.38,2.4,1.7,0.75,1.99,0.51,3.31,1.24,0.91,1.47,3.51,,,,,,,,,
June,,,,,,,,,,,0.5,2.76,2.43,0.47,1.18,3.63,1.44,0.61,0.43,2.3,0.25,2.6,,,,,,,,,
July,,,,,,,,,,,1.75,3.4,2.08,1.82,0.14,0.39,3.59,4.36,1.97,3.73,2.6,1.3,,,,,,,,,
August,,,,,,,,,,,3.1,2.99,1.04,0.54,2.65,2.73,0.1,1.9,2.82,2.24,0.01,3.49,,,,,,,,,
September,,,,,,,,,,,3.69,1.46,3.28,2.29,2.62,3.07,2.03,2.15,1.99,0.84,1.89,1.33,,,,,,,,,
October,,,,,,,,,,,2.56,0.44,5.79,1.85,2.05,4.69,1.17,4.35,3.35,5.87,5.91,1.23,,,,,,,,,
November,,,,,,,,,,,5.5,4.88,2.2,0.71,1.98,7.42,3.59,2.64,4.81,6.33,8.1,1.84,,,,,,,,,
December,,,,,,,,,,,4.63,1.24,1.29,0.93,9.47,4.48,3.13,3.52,3.07,2.08,2.47,2.42,,,,,,,,,
Total,,,,,,,,,,,31.87,27.83,26.31,21.11,27.67,36.4,27.97,39.36,24.29,34.89,34.19,30.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge marked as 7ft above ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
