FLAX-BOURTON-THE-GRANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST507693,Long,-2.70989,Lat,51.42056,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,4.37,3.87,,,,,,,,,,,,,,,,,,,,,,,,,1.67,7.33,1.68,4.23,6.86,1.36,3.27,2.61,0.91,2.56,4.91,4.37,3.75,2.92,1.98,4,2.74,5.24,3.43,5.75,,
February,,,,4.1,2.66,,,,,,,,,,,,,,,,,,,,,,,,,0.62,5.46,2.5,3.02,1.04,3.51,4.18,5.84,1.39,2.01,2.75,1.67,0.3,4.17,6.49,0.58,3.68,2.06,3.28,3.56,,
March,,,,1.12,1.97,,,,,,,,,,,,,,,,,,,,,,,,,2.65,0.25,2.89,5.23,4.06,5.1,1.11,3.54,2.91,1.55,4.68,2.72,1.99,2.81,1.27,1.58,0.39,0.58,3.04,2.57,,
April,,,,0.66,2.44,,,,,,,,,,,,,,,,,,,,,,,,,2.3,3.55,2.11,0.36,3.16,1.52,1.29,1.14,2.02,2.96,1.92,4.67,0.96,2.88,2.61,2.62,1.47,3.03,1.54,1.12,,
May,,,,1.52,2.2,,,,,,,,,,,,,,,,,,,,,,,,,1.76,2.55,0.77,2.67,2.83,1.58,4.14,3.52,2.25,1.91,0.28,2.1,2.19,0.82,1.7,4.21,4.32,2.46,1.31,1.17,,
June,,,,3.38,3.04,,,,,,,,,,,,,,,,,,,,,,,,,4.78,6.15,2.9,4.9,1.26,1.89,0.87,2.41,2.67,1.1,1.59,3.31,0.17,1.72,0.43,2.96,0,2.22,3.13,2.55,,
July,,,,3.5,4.09,,,,,,,,,,,,,,,,,,,,,,,,,4.32,1.31,0.1,4,0.45,4.37,5.42,0.9,2.44,4.65,2.11,5.42,0.73,4.41,2.12,3.43,3.4,1.93,4.91,2.8,,
August,,,,2.22,2.04,,,,,,,,,,,,,,,,,,,,,,,,,3.13,5.21,2.4,8.84,1.32,3.25,2.18,5.06,7.55,2.2,2.74,1.92,2.97,4,3.3,5.7,3.05,2.98,4.27,3.21,,
September,,,,2.8,2.95,,,,,,,,,,,,,,,,,,,,,,,,,3.01,1,1.54,0.62,4.12,2.13,1.69,1.63,2.8,9.06,1.41,2.01,4.39,2.34,2.76,3.34,2.87,2.03,7.09,1.21,,
October,,,,3.38,0.95,,,,,,,,,,,,,,,,,,,,,,,,,7.72,6.74,3.05,4.96,2.73,2.2,4.29,6.6,6.34,2.1,2.54,2.52,1.77,1.71,4.11,5.84,3.26,5.17,3.06,6.77,,
November,,,,4.8,1.57,,,,,,,,,,,,,,,,,,,,,,,,,2.22,4.18,4.48,2.69,3.31,4.4,1.95,2.72,0.99,1.83,1.96,2.11,2.29,1.41,2.66,2.7,1.92,7.76,3.73,3.98,,
December,,,,1.57,4.75,,,,,,,,,,,,,,,,,,,,,,,,,5.6,7.25,7.55,6.76,1.7,6.75,6.33,3.89,0.64,4.75,6.2,2.87,2.35,4.68,2.47,4,4.1,0.51,2.9,3.43,,
Total,,,,33.42,32.53,,,,,,,,,,,,,,,,,,,,,,,,,39.78,50.98,31.97,48.28,32.84,38.06,36.72,39.86,32.91,36.68,33.09,35.69,23.86,33.87,31.9,40.96,31.2,35.97,41.69,38.12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910 Not printed Bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
