WEYBRIDGE-OAKFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ079647,Long,-0.4508,Lat,51.37112,Elevation,107,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,0.79,4.72,1.12,2.67,0.33,1.54,1.23,1.83,2.51,1.53,3.88,1.6,1.04,0.97,2.32,2.2,,,,,,,,
February,,,,,,,1.8,1.65,1.28,3.19,2.22,2.41,1.34,3.6,1.29,2.61,0.42,0.57,1.08,1.93,0.94,0,,,,,,,,
March,,,,,,,2.76,2.23,0.83,0.49,0.48,1.78,0.66,0.9,1.15,1.53,1.35,1.59,2.72,1.58,1.56,2.04,,,,,,,,
April,,,,,,,1.37,2.95,3.46,2.9,2.13,0.45,3.09,1.63,1.25,1.31,1.83,1.35,1.63,2.45,1.73,0.92,,,,,,,,
May,,,,,,,0.73,2.17,3.88,3.64,0.24,1.34,1.19,2.04,0.59,2.76,4.08,1.54,1.22,3.17,1.53,2.93,,,,,,,,
June,,,,,,,1.97,0.59,3.42,4.09,2.64,1.83,2.35,1.41,1.94,1.73,0.73,1.26,2.96,0.69,3.24,1.42,,,,,,,,
July,,,,,,4.57,1.07,2.97,1.5,3.14,4.31,2.15,2.04,2.04,1.86,0.34,1.91,1.01,5.95,2.77,3.99,3.32,,,,,,,,
August,,,,,,0.8,2.54,2.97,4.89,4.6,0.75,4.95,1.36,0.88,1.47,0.95,0.57,2.02,2.14,1.82,1.77,4.7,,,,,,,,
September,,,,,,1.42,2.61,1.13,0.73,2.97,4.74,2,2.5,2.32,1.9,4.54,1.7,2.07,1.07,1.21,0.65,1.05,,,,,,,,
October,,,,,,4.43,1.53,1.76,2.29,0.72,6.36,1.94,5.12,1.92,1.03,3.34,2.44,1.51,1.38,3.3,0.99,6.2,,,,,,,,
November,,,,,,3.29,2.86,4.27,2.59,0.81,1.64,2.68,2.27,2.82,1.24,2.69,2.63,3.26,3.74,0.7,1.72,2.32,,,,,,,,
December,,,,,,1.19,5.51,1.43,1.49,0.78,3.01,2.51,2.02,0.52,2.04,1.05,4.12,1.36,1.14,1.33,0.92,3.03,,,,,,,,
Total,,,,,,,25.54,28.84,27.48,30,28.85,25.58,25.17,21.91,18.27,24.38,25.66,19.14,26.07,21.92,21.36,30.13,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No data on where gauge was on grounds so NGR in kitchen garden Area flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892 Record unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
