ST-DAY-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SW731421,Long,-5.18266,Lat,50.23573,Elevation,390,ft,,,,,,,,,,,,,
Station no,1919,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,7.12,3.87,7.48,4.73,10.39,7.93,9.95,4.56,8.41,4.24,4.08,3.89,4.37,1.7,7.75,8.85,6.47,,
February,,,4.97,8.74,2.9,7.65,3.74,3.57,4.63,3.38,3.05,3.05,0.05,3.9,0.34,4.08,7.55,7.82,2.44,,
March,,,3.79,3.04,3.29,0.98,1.01,4.38,8.1,0.62,3.83,6,2.85,4.62,4.87,0.85,4.84,5.87,1.05,,
April,,,4.55,4.73,4.61,3.98,2.54,2.64,3.17,1.47,3.45,2.36,2.98,2.49,3.73,4.82,2.81,4.07,0.09,,
May,,,1.35,3.31,4.07,4.31,2.76,1.05,1.78,5.74,2.12,3.57,4.84,2.78,2.22,1.99,1.41,2.23,4.07,,
June,,,1.35,0.86,2.2,0.05,4.4,3.29,2.72,3.12,1.07,2.84,3.3,2.14,2.08,2.75,2.4,1.78,,,
July,,,4.55,1.31,5.09,4.21,3.58,3.91,1.72,1.89,1.81,6.42,4.08,2.75,0.82,0.83,7.69,1.85,,,
August,,,4.05,3.73,4.24,3.47,3.09,4.52,2.24,3.69,6.23,4.18,2.23,3.88,4.74,3.92,0.6,1.11,,,
September,,,3.47,3.25,4.91,3.57,0.5,7.67,2.1,0.7,5.64,3.44,5.22,1.99,3.99,4.35,3.93,4.43,,,
October,,1.72,2.11,7.98,10.36,3.79,3.97,3.16,8.31,8.56,6.09,0.98,9.41,7.92,4.19,5.9,1.97,3.91,,,
November,,6.16,2.54,5.61,5.24,4.75,8.94,5.09,5.34,13.89,6.46,9.78,3.19,1.9,2.93,6.58,5.61,3.91,,,
December,,3.35,8.49,5.72,9.83,7.55,1.09,4.81,7.06,9.58,3.25,1.37,3.31,2.44,11.51,6.36,5.97,5.67,,,
Total,,,48.34,52.15,64.22,49.04,46.01,52.02,57.12,57.2,51.41,48.23,45.54,40.7,45.79,44.13,52.53,51.5,,,
