ST-DAY-SCHOOL-(BALDHU-SCHOOL),,,,,,,,,,,,,,,,,,,,
Grid ref,SW772431,Long,-5.12569,Lat,50.24628,Elevation,346,ft,,,,,,,,,,,,
Station no,1919/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,5.18,5.35,6.94,,,4.77,5.27,7.15,1.05,
February,,,,,,,,,,,5.8,0.52,2.76,,,4.92,1.93,1.87,2.05,
March,,,,,,,,,,2.9,4.08,2.84,,,1.1,3.08,9.34,1.86,1.72,
April,,,,,,,,,,3.05,1.62,1.54,,,1.32,2.02,3.12,2.27,2.13,
May,,,,,,,,,,1.22,4.32,6.4,,0.49,,4.76,4.22,2.14,3.31,
June,,,,,,,,,,0.83,2.2,0.7,,2.62,,3.41,3.89,2.4,1.03,
July,,,,,,,,,,3.05,1.05,2.01,,4.15,5.24,2.17,2.09,2.08,1.12,
August,,,,,,,,,,0.38,4.74,,,3.7,1.9,4.86,0.96,3.37,1.14,
September,,,,,,,,,,2.23,0.99,,,3.1,1.91,4.86,1.52,1.52,2.45,
October,,,,,,,,,,3.88,1.75,,,5.46,4.14,4.68,3.2,6.01,7.9,
November,,,,,,,,,,10.91,4.47,2.37,,10.05,2.31,6.54,4.21,3.76,4.63,
December,,,,,,,,,,5.66,3.73,5.77,,,8.13,6.62,2.91,7.24,2.98,
Total,,,,,,,,,,,39.93,,,,,52.69,42.66,41.67,31.51,
,,,,,,,,,,,,,,,,,,,,
Baldhu School is 2.5 miles E of St Day and NGR on sheet,,,,,,,,,,,,,,,,,,,,
Distance to church station and elevation match better than St Day,,,,,,,,,,,,,,,,,,,,
1940 Jan Feb Part estimated ,,,,,,,,,,,,,,,,,,,,
1950 Station terminated,,,,,,,,,,,,,,,,,,,,
