BRISTOL ST JAMES SQUARE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST589734,Long,-2.5929433,Lat,51.458076,Elevation,15,ft,,,,,,,,,,,,
Station no,RR2145,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819
January,,,,2.29,4.43,2.44,5.27,2.28,1.05,4.12,0.9,2.62,0.79,,,,,,,
February,,,,2.27,2.48,2.3,2.14,2.15,0.53,3.26,2.3,2.57,3.66,,,,,,,
March,,,,0.48,1.8,0.98,1.67,0.34,0.35,1.27,1.68,1.56,2.72,,,,,,,
April,,,,1.8,2.27,2.78,1.29,0.49,5.37,3.75,1.42,2.13,0.65,,,,,,,
May,,,,2.55,2.75,1.43,1.5,5.82,2.99,1.45,2.59,3.41,3.46,,,,,,,
June,,,,3.15,0.25,2.58,1.32,0.15,1.75,1.75,1.55,1.81,3.02,,,,,,,
July,,,,0.94,3.78,2.6,3.87,4.21,2.76,1.07,4.52,2.1,2.81,,,,,,,
August,,,,1.81,2.26,2.22,4.27,2.55,3.06,4.38,2.66,2.05,0.97,,,,,,,
September,,,,1.56,0.28,1.59,1.81,3.69,4.36,4.16,2.66,4.05,1.9,,,,,,,
October,,,,0.55,2.8,1.94,1.49,2.14,5.26,0.08,3.45,4.38,4.73,,,,,,,
November,,,,3.8,5.44,1.32,3.36,5.44,3.08,1.54,6.8,3.45,3.08,,,,,,,
December,,,,6.19,1.45,3.73,6.39,2.05,1.52,2.68,5.24,,0.48,,,,,,,
Total,,,,27.39,29.99,25.91,34.38,31.31,32.08,29.51,35.77,,28.27,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"TYRain_1677-1886_A_pt1-page-130.csv, TYRain_1677-1886_B_pt2-page-014.csv & TYRain_1677-1886_B_pt2-page-015.csv are essentially duplicates of each other with several efforts to correct possible mistranscriptions of original publications.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1810 - TYRain_1677-1886_B_pt2-page-113.csv provides, in the column intended for 1814, a 1975 transcription from the Gentleman Magazine of 1810, which demonstrates the months had been offset and December missed.",,,,,,,,,,,,,,,,,,,,
