MIDDLEWICH BOSTOCK HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ675682,Long,-2.4874,Lat,53.2107,Elevation,138,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2773/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.73,4.26,2.69,2.33,1.47,1.82,1.7,3.88,3.02,3.94,4.82,2.35,2.06,3.93,4.33,3.67,3.15,3.19,1.84,5.66,2.1,0.62,1.78,2.66,1,,2.54,4.45,1.42,2.87,3.03,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,0.88,0.39,2.83,0.07,2.65,0.27,2.76,1.84,4.85,1.1,2.38,2.05,3.27,1.23,1.62,1.4,2.28,4.79,1.36,1.77,1.53,4.75,2.35,1.63,1.27,,2,0.52,2,4.42,0.26,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,0.77,2.48,0.23,1.65,2.16,1.4,0.94,1.54,1.64,0.79,1.74,2.45,2.55,1.77,1.28,0.65,0.8,0.72,5.8,0.51,2.3,0.61,4.74,1.5,1.52,2.43,2.21,1.34,2.72,1.57,1.23,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,0.74,2.53,2.32,3.13,0.9,1.36,2.3,1.49,3.16,0.25,1.67,2.35,1.33,1.33,1.43,1.77,1.32,0.97,2.47,1.7,2.61,,1.97,2.84,2.62,0.56,1.68,2.64,0.54,0.76,2.91,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,1.96,2.79,2.86,5.28,1.48,1.5,1.15,1.13,2.25,2.74,1.38,1.36,2.28,4.18,1.82,2.37,3.66,1.49,2.6,1.44,3.17,,2.76,2.34,1.84,2.04,3.21,1.15,1.31,2.16,1.64,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,1.48,1.28,4.91,0.23,2.04,1.66,4.02,3.37,1.05,2.46,2.49,1.23,0.79,0.26,3.13,2.14,2.24,3.11,1.78,3.99,0.86,2.53,1.17,2.13,1.86,3.61,3.33,2.03,1.14,3.99,2.25,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,2.29,5.78,3.19,3.51,1.88,1.1,1.52,3.76,2.91,3.11,5.47,3.52,2.17,3.36,2.62,3.04,1.07,4.02,1.84,2.74,1.69,5.02,1.86,1.79,3.19,4.26,0.54,4.49,5.1,3.78,2.25,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,3.52,3.55,6.66,1.68,0.75,2.8,1.73,1.6,2.9,3.66,1.69,0.71,3.56,2.52,3.01,2.74,3.48,4.81,0.39,5.16,1.88,4.47,3.69,1.21,2.87,3.69,0.82,9.17,4.04,3.65,0.76,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,2.12,3.39,4.49,2.24,0.92,1.85,5.93,4.03,1.39,1.08,0.82,2.67,0.9,2.53,4.02,3.47,1.31,3.24,1.66,1.89,0.66,3.8,2.11,2.64,2.83,3.39,2.22,2.13,6.26,3.97,0.18,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,5.28,4.43,1.11,5.48,3.89,3.39,4.47,2.13,1.75,3.84,2.6,3.79,3.74,3.08,3.34,3.73,4.54,1.31,0.62,1.81,2.8,2.31,0.98,4.02,1.85,5.02,1.69,2.13,3.04,2.81,2.9,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,5.95,3.71,5,2.78,1.22,2.3,4.28,2.79,1.83,3.63,4.36,7.02,2.37,0.64,2.26,4.85,0.79,4.53,3.52,1.88,4.72,3.75,6.69,2.19,2.08,5.1,1.47,1.47,1.27,1.69,3.55,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,5.1,2.99,1.58,1.1,0.34,4.42,3.4,3.5,3.08,3.07,1.8,2.73,1.33,3.23,1.35,2.12,2.53,3.42,2.28,2.56,3.97,2.79,4.14,3.01,1.34,4.16,3.21,2.8,2.33,3.47,4.75,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,31.82,37.58,37.87,29.48,19.7,23.87,34.2,31.06,29.83,29.67,31.22,32.23,26.35,28.06,30.21,31.95,27.17,35.6,26.16,31.11,28.29,,34.24,27.96,24.27,,24.92,34.32,31.17,35.14,25.71,37.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IDR 1950 - Apr, May, no data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
